release_id,hospital_id,version,rollout_percentage,action
R001,H018,v2.2,50,CONTINUE
R001,H018,v2.2,100,CONTINUE
R001,H019,v2.2,5,CONTINUE
R001,H019,v2.2,25,CONTINUE
R001,H019,v2.2,50,CONTINUE
R001,H019,v2.2,100,CONTINUE
R001,H020,v2.2,5,CONTINUE
R001,H020,v2.2,25,CONTINUE
R001,H020,v2.2,50,CONTINUE
R001,H020,v2.2,100,CONTINUE
R001,H021,v2.2,5,CONTINUE
R001,H021,v2.2,25,CONTINUE
R001,H021,v2.2,50,CONTINUE
R001,H021,v2.2,100,CONTINUE
R001,H022,v2.2,5,CONTINUE
R001,H022,v2.2,25,CONTINUE
R001,H022,v2.2,50,CONTINUE
R001,H022,v2.2,100,CONTINUE
R001,H023,v2.2,5,CONTINUE
R001,H023,v2.2,25,CONTINUE
R001,H023,v2.2,50,CONTINUE
R001,H023,v2.2,100,CONTINUE
R001,H024,v2.2,5,CONTINUE
R001,H024,v2.2,25,CONTINUE
R001,H024,v2.2,50,CONTINUE
R001,H024,v2.2,100,CONTINUE
R001,H025,v2.2,5,CONTINUE
R001,H025,v2.2,25,CONTINUE
R001,H025,v2.2,50,CONTINUE
R001,H025,v2.2,100,CONTINUE
R001,H026,v2.2,5,CONTINUE
R001,H026,v2.2,25,CONTINUE
R001,H026,v2.2,50,CONTINUE
R001,H026,v2.2,100,CONTINUE
R001,H027,v2.2,5,CONTINUE
R001,H027,v2.2,25,CONTINUE
R001,H027,v2.2,50,CONTINUE
R001,H027,v2.2,100,CONTINUE
R001,H028,v2.2,5,CONTINUE
R001,H028,v2.2,25,CONTINUE
R001,H028,v2.2,50,CONTINUE
R001,H028,v2.2,100,CONTINUE
R001,H029,v2.2,5,CONTINUE
R001,H029,v2.2,25,CONTINUE
R001,H029,v2.2,50,CONTINUE
R001,H029,v2.2,100,CONTINUE
R001,H030,v2.2,5,CONTINUE
R001,H030,v2.2,25,CONTINUE
R001,H030,v2.2,50,CONTINUE
R001,H030,v2.2,100,CONTINUE
R001,H031,v2.2,5,CONTINUE
R001,H031,v2.2,25,CONTINUE
R001,H031,v2.2,50,CONTINUE
R001,H031,v2.2,100,CONTINUE
R001,H032,v2.2,5,CONTINUE
R001,H032,v2.2,25,CONTINUE
R001,H032,v2.2,50,CONTINUE
R001,H032,v2.2,100,CONTINUE
R001,H033,v2.2,5,CONTINUE
R001,H033,v2.2,25,CONTINUE
R001,H033,v2.2,50,CONTINUE
R001,H033,v2.2,100,CONTINUE
R001,H034,v2.2,5,CONTINUE
R001,H034,v2.2,25,CONTINUE
R001,H034,v2.2,50,CONTINUE
R001,H034,v2.2,100,CONTINUE
R001,H035,v2.2,5,STOP
R001,H036,v2.2,5,CONTINUE
R001,H036,v2.2,25,CONTINUE
R001,H036,v2.2,50,CONTINUE
R001,H036,v2.2,100,CONTINUE
R001,H037,v2.2,5,CONTINUE
R001,H037,v2.2,25,CONTINUE
R001,H037,v2.2,50,CONTINUE
R001,H037,v2.2,100,CONTINUE
R001,H038,v2.2,5,CONTINUE
R001,H038,v2.2,25,CONTINUE
R001,H038,v2.2,50,CONTINUE
R001,H038,v2.2,100,CONTINUE
R001,H039,v2.2,5,CONTINUE
R001,H039,v2.2,25,CONTINUE
R001,H039,v2.2,50,CONTINUE
R001,H039,v2.2,100,CONTINUE
R001,H040,v2.2,5,CONTINUE
R001,H040,v2.2,25,CONTINUE
R001,H040,v2.2,50,CONTINUE
R001,H040,v2.2,100,CONTINUE
R001,H041,v2.2,5,CONTINUE
R001,H041,v2.2,25,CONTINUE
R001,H041,v2.2,50,CONTINUE
R001,H041,v2.2,100,CONTINUE
R001,H042,v2.2,5,CONTINUE
R001,H042,v2.2,25,CONTINUE
R001,H042,v2.2,50,CONTINUE
R001,H042,v2.2,100,CONTINUE
R001,H043,v2.2,5,CONTINUE
R001,H043,v2.2,25,CONTINUE
R001,H043,v2.2,50,CONTINUE
R001,H043,v2.2,100,CONTINUE
R001,H044,v2.2,5,STOP
R001,H045,v2.2,5,CONTINUE
R001,H045,v2.2,25,CONTINUE
R001,H045,v2.2,50,CONTINUE
R001,H045,v2.2,100,CONTINUE
R001,H046,v2.2,5,CONTINUE
R001,H046,v2.2,25,CONTINUE
R001,H046,v2.2,50,CONTINUE
R001,H046,v2.2,100,CONTINUE
R001,H047,v2.2,5,CONTINUE
R001,H047,v2.2,25,CONTINUE
R001,H047,v2.2,50,CONTINUE
R001,H047,v2.2,100,CONTINUE
R001,H048,v2.2,5,CONTINUE
R001,H048,v2.2,25,CONTINUE
R001,H048,v2.2,50,CONTINUE
R001,H048,v2.2,100,CONTINUE
R001,H049,v2.2,5,CONTINUE
R001,H049,v2.2,25,CONTINUE
R001,H049,v2.2,50,CONTINUE
R001,H049,v2.2,100,CONTINUE
R001,H050,v2.2,5,CONTINUE
R001,H050,v2.2,25,CONTINUE
R001,H050,v2.2,50,CONTINUE
R001,H050,v2.2,100,CONTINUE
R002,H001,v2.3,5,CONTINUE
R002,H001,v2.3,25,CONTINUE
R002,H001,v2.3,50,CONTINUE
R002,H001,v2.3,100,CONTINUE
R002,H002,v2.3,5,CONTINUE
R002,H002,v2.3,25,CONTINUE
R002,H002,v2.3,50,CONTINUE
R002,H002,v2.3,100,CONTINUE
R002,H003,v2.3,5,CONTINUE
R002,H003,v2.3,25,CONTINUE
R002,H003,v2.3,50,CONTINUE
R002,H003,v2.3,100,CONTINUE
R002,H004,v2.3,5,HOLD
R002,H005,v2.3,5,CONTINUE
R002,H005,v2.3,25,CONTINUE
R002,H005,v2.3,50,CONTINUE
R002,H005,v2.3,100,CONTINUE
R002,H006,v2.3,5,CONTINUE
R002,H006,v2.3,25,CONTINUE
R002,H006,v2.3,50,CONTINUE
R002,H006,v2.3,100,CONTINUE
R002,H007,v2.3,5,CONTINUE
R002,H007,v2.3,25,CONTINUE
R002,H007,v2.3,50,CONTINUE
R002,H007,v2.3,100,CONTINUE
R002,H008,v2.3,5,CONTINUE
R002,H008,v2.3,25,CONTINUE
R002,H008,v2.3,50,CONTINUE
R002,H008,v2.3,100,CONTINUE
R002,H009,v2.3,5,CONTINUE
R002,H009,v2.3,25,CONTINUE
R002,H009,v2.3,50,CONTINUE
R002,H009,v2.3,100,CONTINUE
R002,H010,v2.3,5,CONTINUE
R002,H010,v2.3,25,CONTINUE
R002,H010,v2.3,50,CONTINUE
R002,H010,v2.3,100,CONTINUE
R002,H011,v2.3,5,CONTINUE
R002,H011,v2.3,25,CONTINUE
R002,H011,v2.3,50,CONTINUE
R002,H011,v2.3,100,CONTINUE
R002,H012,v2.3,5,CONTINUE
R002,H012,v2.3,25,CONTINUE
R002,H012,v2.3,50,CONTINUE
R002,H012,v2.3,100,CONTINUE
R002,H013,v2.3,5,CONTINUE
R002,H013,v2.3,25,CONTINUE
R002,H013,v2.3,50,CONTINUE
R002,H013,v2.3,100,CONTINUE
R002,H014,v2.3,5,CONTINUE
R002,H014,v2.3,25,CONTINUE
R002,H014,v2.3,50,CONTINUE
R002,H014,v2.3,100,CONTINUE
R002,H015,v2.3,5,CONTINUE
R002,H015,v2.3,25,CONTINUE
R002,H015,v2.3,50,CONTINUE
R002,H015,v2.3,100,CONTINUE
R002,H016,v2.3,5,CONTINUE
R002,H016,v2.3,25,CONTINUE
R002,H016,v2.3,50,CONTINUE
R002,H016,v2.3,100,CONTINUE
R002,H017,v2.3,5,HOLD
R002,H018,v2.3,5,CONTINUE
R002,H018,v2.3,25,CONTINUE
R002,H018,v2.3,50,CONTINUE
R002,H018,v2.3,100,CONTINUE
R002,H019,v2.3,5,CONTINUE
R002,H019,v2.3,25,CONTINUE
R002,H019,v2.3,50,CONTINUE
R002,H019,v2.3,100,CONTINUE
R002,H020,v2.3,5,CONTINUE
R002,H020,v2.3,25,CONTINUE
R002,H020,v2.3,50,CONTINUE
R002,H020,v2.3,100,CONTINUE
R002,H021,v2.3,5,CONTINUE
R002,H021,v2.3,25,CONTINUE
R002,H021,v2.3,50,CONTINUE
R002,H021,v2.3,100,CONTINUE
R002,H022,v2.3,5,CONTINUE
R002,H022,v2.3,25,CONTINUE
R002,H022,v2.3,50,CONTINUE
R002,H022,v2.3,100,CONTINUE
R002,H023,v2.3,5,CONTINUE
R002,H023,v2.3,25,CONTINUE
R002,H023,v2.3,50,CONTINUE
R002,H023,v2.3,100,CONTINUE
R002,H024,v2.3,5,CONTINUE
R002,H024,v2.3,25,CONTINUE
R002,H024,v2.3,50,CONTINUE
R002,H024,v2.3,100,CONTINUE
R002,H025,v2.3,5,CONTINUE
R002,H025,v2.3,25,CONTINUE
R002,H025,v2.3,50,CONTINUE
R002,H025,v2.3,100,CONTINUE
R002,H026,v2.3,5,CONTINUE
R002,H026,v2.3,25,CONTINUE
R002,H026,v2.3,50,CONTINUE
R002,H026,v2.3,100,CONTINUE
R002,H027,v2.3,5,CONTINUE
R002,H027,v2.3,25,CONTINUE
R002,H027,v2.3,50,CONTINUE
R002,H027,v2.3,100,CONTINUE
R002,H028,v2.3,5,CONTINUE
R002,H028,v2.3,25,CONTINUE
R002,H028,v2.3,50,CONTINUE
R002,H028,v2.3,100,CONTINUE
R002,H029,v2.3,5,STOP
R002,H030,v2.3,5,CONTINUE
R002,H030,v2.3,25,CONTINUE
R002,H030,v2.3,50,CONTINUE
R002,H030,v2.3,100,CONTINUE
R002,H031,v2.3,5,CONTINUE
R002,H031,v2.3,25,CONTINUE
R002,H031,v2.3,50,CONTINUE
R002,H031,v2.3,100,CONTINUE
R002,H032,v2.3,5,CONTINUE
R002,H032,v2.3,25,CONTINUE
R002,H032,v2.3,50,CONTINUE
R002,H032,v2.3,100,CONTINUE
R002,H033,v2.3,5,CONTINUE
R002,H033,v2.3,25,CONTINUE
R002,H033,v2.3,50,CONTINUE
R002,H033,v2.3,100,CONTINUE
R002,H034,v2.3,5,CONTINUE
R002,H034,v2.3,25,CONTINUE
R002,H034,v2.3,50,CONTINUE
R002,H034,v2.3,100,CONTINUE
R002,H035,v2.3,5,HOLD
R002,H036,v2.3,5,CONTINUE
R002,H036,v2.3,25,CONTINUE
R002,H036,v2.3,50,CONTINUE
R002,H036,v2.3,100,CONTINUE
R002,H037,v2.3,5,CONTINUE
R002,H037,v2.3,25,CONTINUE
R002,H037,v2.3,50,CONTINUE
R002,H037,v2.3,100,CONTINUE
R002,H038,v2.3,5,CONTINUE
R002,H038,v2.3,25,CONTINUE
R002,H038,v2.3,50,CONTINUE
R002,H038,v2.3,100,CONTINUE
R002,H039,v2.3,5,CONTINUE
R002,H039,v2.3,25,CONTINUE
R002,H039,v2.3,50,CONTINUE
R002,H039,v2.3,100,CONTINUE
R002,H040,v2.3,5,CONTINUE
R002,H040,v2.3,25,CONTINUE
R002,H040,v2.3,50,CONTINUE
R002,H040,v2.3,100,CONTINUE
R002,H041,v2.3,5,CONTINUE
R002,H041,v2.3,25,CONTINUE
R002,H041,v2.3,50,CONTINUE
R002,H041,v2.3,100,CONTINUE
R002,H042,v2.3,5,CONTINUE
R002,H042,v2.3,25,CONTINUE
R002,H042,v2.3,50,CONTINUE
R002,H042,v2.3,100,CONTINUE
R002,H043,v2.3,5,CONTINUE
R002,H043,v2.3,25,CONTINUE
R002,H043,v2.3,50,CONTINUE
R002,H043,v2.3,100,CONTINUE
R002,H044,v2.3,5,CONTINUE
R002,H044,v2.3,25,CONTINUE
R002,H044,v2.3,50,CONTINUE
R002,H044,v2.3,100,CONTINUE
R002,H045,v2.3,5,CONTINUE
R002,H045,v2.3,25,CONTINUE
R002,H045,v2.3,50,CONTINUE
R002,H045,v2.3,100,CONTINUE
R002,H046,v2.3,5,CONTINUE
R002,H046,v2.3,25,CONTINUE
R002,H046,v2.3,50,CONTINUE
R002,H046,v2.3,100,CONTINUE
R002,H047,v2.3,5,CONTINUE
R002,H047,v2.3,25,CONTINUE
R002,H047,v2.3,50,CONTINUE
R002,H047,v2.3,100,CONTINUE
R002,H048,v2.3,5,CONTINUE
R002,H048,v2.3,25,CONTINUE
R002,H048,v2.3,50,CONTINUE
R002,H048,v2.3,100,CONTINUE
R002,H049,v2.3,5,CONTINUE
R002,H049,v2.3,25,CONTINUE
R002,H049,v2.3,50,CONTINUE
R002,H049,v2.3,100,CONTINUE
R002,H050,v2.3,5,CONTINUE
R002,H050,v2.3,25,CONTINUE
R002,H050,v2.3,50,CONTINUE
R002,H050,v2.3,100,CONTINUE
R003,H001,v2.4,5,CONTINUE
R003,H001,v2.4,25,CONTINUE
R003,H001,v2.4,50,CONTINUE
R003,H001,v2.4,100,CONTINUE
R003,H002,v2.4,5,CONTINUE
R003,H002,v2.4,25,CONTINUE
R003,H002,v2.4,50,CONTINUE
R003,H002,v2.4,100,CONTINUE
R003,H003,v2.4,5,CONTINUE
R003,H003,v2.4,25,CONTINUE
R003,H003,v2.4,50,CONTINUE
R003,H003,v2.4,100,CONTINUE
R003,H004,v2.4,5,CONTINUE
R003,H004,v2.4,25,CONTINUE
R003,H004,v2.4,50,CONTINUE
R003,H004,v2.4,100,CONTINUE
R003,H005,v2.4,5,CONTINUE
R003,H005,v2.4,25,CONTINUE
R003,H005,v2.4,50,CONTINUE
R003,H005,v2.4,100,CONTINUE
R003,H006,v2.4,5,CONTINUE
R003,H006,v2.4,25,CONTINUE
R003,H006,v2.4,50,CONTINUE
R003,H006,v2.4,100,CONTINUE
R003,H007,v2.4,5,CONTINUE
R003,H007,v2.4,25,CONTINUE
R003,H007,v2.4,50,CONTINUE
R003,H007,v2.4,100,CONTINUE
R003,H008,v2.4,5,CONTINUE
R003,H008,v2.4,25,CONTINUE
R003,H008,v2.4,50,CONTINUE
R003,H008,v2.4,100,CONTINUE
R003,H009,v2.4,5,CONTINUE
R003,H009,v2.4,25,CONTINUE
R003,H009,v2.4,50,CONTINUE
R003,H009,v2.4,100,CONTINUE
R003,H010,v2.4,5,CONTINUE
R003,H010,v2.4,25,CONTINUE
R003,H010,v2.4,50,CONTINUE
R003,H010,v2.4,100,CONTINUE
R003,H011,v2.4,5,CONTINUE
R003,H011,v2.4,25,CONTINUE
R003,H011,v2.4,50,CONTINUE
R003,H011,v2.4,100,CONTINUE
R003,H012,v2.4,5,CONTINUE
R003,H012,v2.4,25,CONTINUE
R003,H012,v2.4,50,CONTINUE
R003,H012,v2.4,100,CONTINUE
R003,H013,v2.4,5,CONTINUE
R003,H013,v2.4,25,CONTINUE
R003,H013,v2.4,50,CONTINUE
R003,H013,v2.4,100,CONTINUE
R003,H014,v2.4,5,CONTINUE
R003,H014,v2.4,25,CONTINUE
R003,H014,v2.4,50,CONTINUE
R003,H014,v2.4,100,CONTINUE
R003,H015,v2.4,5,CONTINUE
R003,H015,v2.4,25,CONTINUE
R003,H015,v2.4,50,CONTINUE
R003,H015,v2.4,100,CONTINUE
R003,H016,v2.4,5,HOLD
R003,H017,v2.4,5,CONTINUE
R003,H017,v2.4,25,CONTINUE
R003,H017,v2.4,50,CONTINUE
R003,H017,v2.4,100,CONTINUE
R003,H018,v2.4,5,CONTINUE
R003,H018,v2.4,25,CONTINUE
R003,H018,v2.4,50,CONTINUE
R003,H018,v2.4,100,CONTINUE
R003,H019,v2.4,5,CONTINUE
R003,H019,v2.4,25,CONTINUE
R003,H019,v2.4,50,CONTINUE
R003,H019,v2.4,100,CONTINUE
R003,H020,v2.4,5,CONTINUE
R003,H020,v2.4,25,CONTINUE
R003,H020,v2.4,50,CONTINUE
R003,H020,v2.4,100,CONTINUE
R003,H021,v2.4,5,CONTINUE
R003,H021,v2.4,25,CONTINUE
R003,H021,v2.4,50,CONTINUE
R003,H021,v2.4,100,CONTINUE
R003,H022,v2.4,5,CONTINUE
R003,H022,v2.4,25,CONTINUE
R003,H022,v2.4,50,CONTINUE
R003,H022,v2.4,100,CONTINUE
R003,H023,v2.4,5,CONTINUE
R003,H023,v2.4,25,CONTINUE
R003,H023,v2.4,50,CONTINUE
R003,H023,v2.4,100,CONTINUE
R003,H024,v2.4,5,CONTINUE
R003,H024,v2.4,25,CONTINUE
R003,H024,v2.4,50,CONTINUE
R003,H024,v2.4,100,CONTINUE
R003,H025,v2.4,5,CONTINUE
R003,H025,v2.4,25,CONTINUE
R003,H025,v2.4,50,CONTINUE
R003,H025,v2.4,100,CONTINUE
R003,H026,v2.4,5,CONTINUE
R003,H026,v2.4,25,CONTINUE
R003,H026,v2.4,50,CONTINUE
R003,H026,v2.4,100,CONTINUE
R003,H027,v2.4,5,CONTINUE
R003,H027,v2.4,25,CONTINUE
R003,H027,v2.4,50,CONTINUE
R003,H027,v2.4,100,CONTINUE
R003,H028,v2.4,5,CONTINUE
R003,H028,v2.4,25,CONTINUE
R003,H028,v2.4,50,CONTINUE
R003,H028,v2.4,100,CONTINUE
R003,H029,v2.4,5,CONTINUE
R003,H029,v2.4,25,CONTINUE
R003,H029,v2.4,50,CONTINUE
R003,H029,v2.4,100,CONTINUE
R003,H030,v2.4,5,CONTINUE
R003,H030,v2.4,25,CONTINUE
R003,H030,v2.4,50,CONTINUE
R003,H030,v2.4,100,CONTINUE
R003,H031,v2.4,5,CONTINUE
R003,H031,v2.4,25,CONTINUE
R003,H031,v2.4,50,CONTINUE
R003,H031,v2.4,100,CONTINUE
R003,H032,v2.4,5,STOP
R003,H033,v2.4,5,CONTINUE
R003,H033,v2.4,25,CONTINUE
R003,H033,v2.4,50,CONTINUE
R003,H033,v2.4,100,CONTINUE
R003,H034,v2.4,5,CONTINUE
R003,H034,v2.4,25,CONTINUE
R003,H034,v2.4,50,CONTINUE
R003,H034,v2.4,100,CONTINUE
R003,H035,v2.4,5,CONTINUE
R003,H035,v2.4,25,CONTINUE
R003,H035,v2.4,50,CONTINUE
R003,H035,v2.4,100,CONTINUE
R003,H036,v2.4,5,STOP
R003,H037,v2.4,5,CONTINUE
R003,H037,v2.4,25,CONTINUE
R003,H037,v2.4,50,CONTINUE
R003,H037,v2.4,100,CONTINUE
R003,H038,v2.4,5,CONTINUE
R003,H038,v2.4,25,CONTINUE
R003,H038,v2.4,50,CONTINUE
R003,H038,v2.4,100,CONTINUE
R003,H039,v2.4,5,CONTINUE
R003,H039,v2.4,25,CONTINUE
R003,H039,v2.4,50,CONTINUE
R003,H039,v2.4,100,CONTINUE
R003,H040,v2.4,5,CONTINUE
R003,H040,v2.4,25,CONTINUE
R003,H040,v2.4,50,CONTINUE
R003,H040,v2.4,100,CONTINUE
R003,H041,v2.4,5,CONTINUE
R003,H041,v2.4,25,CONTINUE
R003,H041,v2.4,50,CONTINUE
R003,H041,v2.4,100,CONTINUE
R003,H042,v2.4,5,CONTINUE
R003,H042,v2.4,25,CONTINUE
R003,H042,v2.4,50,CONTINUE
R003,H042,v2.4,100,CONTINUE
R003,H043,v2.4,5,CONTINUE
R003,H043,v2.4,25,CONTINUE
R003,H043,v2.4,50,CONTINUE
R003,H043,v2.4,100,CONTINUE
R003,H044,v2.4,5,CONTINUE
R003,H044,v2.4,25,CONTINUE
R003,H044,v2.4,50,CONTINUE
R003,H044,v2.4,100,CONTINUE
R003,H045,v2.4,5,CONTINUE
R003,H045,v2.4,25,CONTINUE
R003,H045,v2.4,50,CONTINUE
R003,H045,v2.4,100,CONTINUE
R003,H046,v2.4,5,CONTINUE
R003,H046,v2.4,25,CONTINUE
R003,H046,v2.4,50,CONTINUE
R003,H046,v2.4,100,CONTINUE
R003,H047,v2.4,5,CONTINUE
R003,H047,v2.4,25,CONTINUE
R003,H047,v2.4,50,CONTINUE
R003,H047,v2.4,100,CONTINUE
R003,H048,v2.4,5,CONTINUE
R003,H048,v2.4,25,CONTINUE
R003,H048,v2.4,50,CONTINUE
R003,H048,v2.4,100,CONTINUE
R003,H049,v2.4,5,CONTINUE
R003,H049,v2.4,25,CONTINUE
R003,H049,v2.4,50,CONTINUE
R003,H049,v2.4,100,CONTINUE
R003,H050,v2.4,5,CONTINUE
R003,H050,v2.4,25,CONTINUE
R003,H050,v2.4,50,CONTINUE
R003,H050,v2.4,100,CONTINUE
R004,H001,v2.5,5,STOP
R004,H002,v2.5,5,STOP
R004,H003,v2.5,5,STOP
R004,H004,v2.5,5,STOP
R004,H005,v2.5,5,STOP
R004,H006,v2.5,5,STOP
R004,H007,v2.5,5,STOP
R004,H008,v2.5,5,STOP
R004,H009,v2.5,5,HOLD
R004,H010,v2.5,5,STOP
R004,H011,v2.5,5,STOP
R004,H012,v2.5,5,STOP
R004,H013,v2.5,5,STOP
R004,H014,v2.5,5,STOP
R004,H015,v2.5,5,STOP
R004,H016,v2.5,5,STOP
R004,H017,v2.5,5,STOP
R004,H018,v2.5,5,STOP
R004,H019,v2.5,5,STOP
R004,H020,v2.5,5,STOP
R004,H021,v2.5,5,STOP
R004,H022,v2.5,5,STOP
R004,H023,v2.5,5,STOP
R004,H024,v2.5,5,STOP
R004,H025,v2.5,5,STOP
R004,H026,v2.5,5,STOP
R004,H027,v2.5,5,HOLD
R004,H028,v2.5,5,STOP
R004,H029,v2.5,5,STOP
R004,H030,v2.5,5,STOP
R004,H031,v2.5,5,STOP
R004,H032,v2.5,5,STOP
R004,H033,v2.5,5,HOLD
R004,H034,v2.5,5,STOP
R004,H035,v2.5,5,STOP
R004,H036,v2.5,5,STOP
R004,H037,v2.5,5,STOP
R004,H038,v2.5,5,STOP
R004,H039,v2.5,5,STOP
R004,H040,v2.5,5,STOP
R004,H041,v2.5,5,STOP
R004,H042,v2.5,5,STOP
R004,H043,v2.5,5,STOP
R004,H044,v2.5,5,HOLD
R004,H045,v2.5,5,STOP
R004,H046,v2.5,5,STOP
R004,H047,v2.5,5,STOP
R004,H048,v2.5,5,STOP
R004,H049,v2.5,5,STOP
R004,H050,v2.5,5,STOP
R005,H001,v2.6,5,CONTINUE
R005,H001,v2.6,25,CONTINUE
R005,H001,v2.6,50,CONTINUE
R005,H001,v2.6,100,CONTINUE
R005,H002,v2.6,5,CONTINUE
R005,H002,v2.6,25,CONTINUE
R005,H002,v2.6,50,CONTINUE
R005,H002,v2.6,100,CONTINUE
R005,H003,v2.6,5,CONTINUE
R005,H003,v2.6,25,CONTINUE
R005,H003,v2.6,50,CONTINUE
R005,H003,v2.6,100,CONTINUE
R005,H004,v2.6,5,CONTINUE
R005,H004,v2.6,25,CONTINUE
R005,H004,v2.6,50,CONTINUE
R005,H004,v2.6,100,CONTINUE
R005,H005,v2.6,5,CONTINUE
R005,H005,v2.6,25,CONTINUE
R005,H005,v2.6,50,CONTINUE
R005,H005,v2.6,100,CONTINUE
R005,H006,v2.6,5,CONTINUE
R005,H006,v2.6,25,CONTINUE
R005,H006,v2.6,50,CONTINUE
R005,H006,v2.6,100,CONTINUE
R005,H007,v2.6,5,CONTINUE
R005,H007,v2.6,25,CONTINUE
R005,H007,v2.6,50,CONTINUE
R005,H007,v2.6,100,CONTINUE
R005,H008,v2.6,5,CONTINUE
R005,H008,v2.6,25,CONTINUE
R005,H008,v2.6,50,CONTINUE
R005,H008,v2.6,100,CONTINUE
R005,H009,v2.6,5,CONTINUE
R005,H009,v2.6,25,CONTINUE
R005,H009,v2.6,50,CONTINUE
R005,H009,v2.6,100,CONTINUE
R005,H010,v2.6,5,CONTINUE
R005,H010,v2.6,25,CONTINUE
R005,H010,v2.6,50,CONTINUE
R005,H010,v2.6,100,CONTINUE
R005,H011,v2.6,5,CONTINUE
R005,H011,v2.6,25,CONTINUE
R005,H011,v2.6,50,CONTINUE
R005,H011,v2.6,100,CONTINUE
R005,H012,v2.6,5,CONTINUE
R005,H012,v2.6,25,CONTINUE
R005,H012,v2.6,50,CONTINUE
R005,H012,v2.6,100,CONTINUE
R005,H013,v2.6,5,HOLD
R005,H014,v2.6,5,CONTINUE
R005,H014,v2.6,25,CONTINUE
R005,H014,v2.6,50,CONTINUE
R005,H014,v2.6,100,CONTINUE
R005,H015,v2.6,5,CONTINUE
R005,H015,v2.6,25,CONTINUE
R005,H015,v2.6,50,CONTINUE
R005,H015,v2.6,100,CONTINUE
R005,H016,v2.6,5,CONTINUE
R005,H016,v2.6,25,CONTINUE
R005,H016,v2.6,50,CONTINUE
R005,H016,v2.6,100,CONTINUE
R005,H017,v2.6,5,CONTINUE
R005,H017,v2.6,25,CONTINUE
R005,H017,v2.6,50,CONTINUE
R005,H017,v2.6,100,CONTINUE
R005,H018,v2.6,5,CONTINUE
R005,H018,v2.6,25,CONTINUE
R005,H018,v2.6,50,CONTINUE
R005,H018,v2.6,100,CONTINUE
R005,H019,v2.6,5,CONTINUE
R005,H019,v2.6,25,CONTINUE
R005,H019,v2.6,50,CONTINUE
R005,H019,v2.6,100,CONTINUE
R005,H020,v2.6,5,CONTINUE
R005,H020,v2.6,25,CONTINUE
R005,H020,v2.6,50,CONTINUE
R005,H020,v2.6,100,CONTINUE
R005,H021,v2.6,5,CONTINUE
R005,H021,v2.6,25,CONTINUE
R005,H021,v2.6,50,CONTINUE
R005,H021,v2.6,100,CONTINUE
R005,H022,v2.6,5,CONTINUE
R005,H022,v2.6,25,CONTINUE
R005,H022,v2.6,50,CONTINUE
R005,H022,v2.6,100,CONTINUE
R005,H023,v2.6,5,CONTINUE
R005,H023,v2.6,25,CONTINUE
R005,H023,v2.6,50,CONTINUE
R005,H023,v2.6,100,CONTINUE
