release_id,hospital_id,version,event_type,decision,timestamp
R001,H007,v2.2,RELEASE_CREATED,,2026-01-01 09:00:00
R001,H007,v2.2,DEPLOYMENT_STARTED,,2026-01-01 09:01:00
R001,H007,v2.2,CANARY_STARTED,,2026-01-01 09:02:00
R001,H007,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 09:05:00
R001,H007,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 09:06:00
R001,H007,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 09:10:00
R001,H008,v2.2,RELEASE_CREATED,,2026-01-01 09:10:00
R001,H008,v2.2,DEPLOYMENT_STARTED,,2026-01-01 09:11:00
R001,H008,v2.2,CANARY_STARTED,,2026-01-01 09:12:00
R001,H008,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 09:15:00
R001,H008,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 09:16:00
R001,H008,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 09:20:00
R001,H009,v2.2,RELEASE_CREATED,,2026-01-01 09:20:00
R001,H009,v2.2,DEPLOYMENT_STARTED,,2026-01-01 09:21:00
R001,H009,v2.2,CANARY_STARTED,,2026-01-01 09:22:00
R001,H009,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 09:25:00
R001,H009,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 09:26:00
R001,H009,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 09:30:00
R001,H010,v2.2,RELEASE_CREATED,,2026-01-01 09:30:00
R001,H010,v2.2,DEPLOYMENT_STARTED,,2026-01-01 09:31:00
R001,H010,v2.2,CANARY_STARTED,,2026-01-01 09:32:00
R001,H010,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 09:35:00
R001,H010,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 09:36:00
R001,H010,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 09:40:00
R001,H011,v2.2,RELEASE_CREATED,,2026-01-01 09:40:00
R001,H011,v2.2,DEPLOYMENT_STARTED,,2026-01-01 09:41:00
R001,H011,v2.2,CANARY_STARTED,,2026-01-01 09:42:00
R001,H011,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 09:45:00
R001,H011,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 09:46:00
R001,H011,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 09:50:00
R001,H012,v2.2,RELEASE_CREATED,,2026-01-01 09:50:00
R001,H012,v2.2,DEPLOYMENT_STARTED,,2026-01-01 09:51:00
R001,H012,v2.2,CANARY_STARTED,,2026-01-01 09:52:00
R001,H012,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 09:55:00
R001,H012,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 09:56:00
R001,H012,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 10:00:00
R001,H013,v2.2,RELEASE_CREATED,,2026-01-01 10:00:00
R001,H013,v2.2,DEPLOYMENT_STARTED,,2026-01-01 10:01:00
R001,H013,v2.2,CANARY_STARTED,,2026-01-01 10:02:00
R001,H013,v2.2,CANARY_EVALUATED,BLOCK,2026-01-01 10:05:00
R001,H013,v2.2,ROLLOUT_DECISION,BLOCK,2026-01-01 10:06:00
R001,H013,v2.2,ROLLOUT_STOPPED,BLOCK,2026-01-01 10:10:00
R001,H014,v2.2,RELEASE_CREATED,,2026-01-01 10:10:00
R001,H014,v2.2,DEPLOYMENT_STARTED,,2026-01-01 10:11:00
R001,H014,v2.2,CANARY_STARTED,,2026-01-01 10:12:00
R001,H014,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 10:15:00
R001,H014,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 10:16:00
R001,H014,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 10:20:00
R001,H015,v2.2,RELEASE_CREATED,,2026-01-01 10:20:00
R001,H015,v2.2,DEPLOYMENT_STARTED,,2026-01-01 10:21:00
R001,H015,v2.2,CANARY_STARTED,,2026-01-01 10:22:00
R001,H015,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 10:25:00
R001,H015,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 10:26:00
R001,H015,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 10:30:00
R001,H016,v2.2,RELEASE_CREATED,,2026-01-01 10:30:00
R001,H016,v2.2,DEPLOYMENT_STARTED,,2026-01-01 10:31:00
R001,H016,v2.2,CANARY_STARTED,,2026-01-01 10:32:00
R001,H016,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 10:35:00
R001,H016,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 10:36:00
R001,H016,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 10:40:00
R001,H017,v2.2,RELEASE_CREATED,,2026-01-01 10:40:00
R001,H017,v2.2,DEPLOYMENT_STARTED,,2026-01-01 10:41:00
R001,H017,v2.2,CANARY_STARTED,,2026-01-01 10:42:00
R001,H017,v2.2,CANARY_EVALUATED,HOLD,2026-01-01 10:45:00
R001,H017,v2.2,ROLLOUT_DECISION,HOLD,2026-01-01 10:46:00
R001,H017,v2.2,ROLLOUT_STOPPED,HOLD,2026-01-01 10:50:00
R001,H018,v2.2,RELEASE_CREATED,,2026-01-01 10:50:00
R001,H018,v2.2,DEPLOYMENT_STARTED,,2026-01-01 10:51:00
R001,H018,v2.2,CANARY_STARTED,,2026-01-01 10:52:00
R001,H018,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 10:55:00
R001,H018,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 10:56:00
R001,H018,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 11:00:00
R001,H019,v2.2,RELEASE_CREATED,,2026-01-01 11:00:00
R001,H019,v2.2,DEPLOYMENT_STARTED,,2026-01-01 11:01:00
R001,H019,v2.2,CANARY_STARTED,,2026-01-01 11:02:00
R001,H019,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 11:05:00
R001,H019,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 11:06:00
R001,H019,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 11:10:00
R001,H020,v2.2,RELEASE_CREATED,,2026-01-01 11:10:00
R001,H020,v2.2,DEPLOYMENT_STARTED,,2026-01-01 11:11:00
R001,H020,v2.2,CANARY_STARTED,,2026-01-01 11:12:00
R001,H020,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 11:15:00
R001,H020,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 11:16:00
R001,H020,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 11:20:00
R001,H021,v2.2,RELEASE_CREATED,,2026-01-01 11:20:00
R001,H021,v2.2,DEPLOYMENT_STARTED,,2026-01-01 11:21:00
R001,H021,v2.2,CANARY_STARTED,,2026-01-01 11:22:00
R001,H021,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 11:25:00
R001,H021,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 11:26:00
R001,H021,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 11:30:00
R001,H022,v2.2,RELEASE_CREATED,,2026-01-01 11:30:00
R001,H022,v2.2,DEPLOYMENT_STARTED,,2026-01-01 11:31:00
R001,H022,v2.2,CANARY_STARTED,,2026-01-01 11:32:00
R001,H022,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 11:35:00
R001,H022,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 11:36:00
R001,H022,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 11:40:00
R001,H023,v2.2,RELEASE_CREATED,,2026-01-01 11:40:00
R001,H023,v2.2,DEPLOYMENT_STARTED,,2026-01-01 11:41:00
R001,H023,v2.2,CANARY_STARTED,,2026-01-01 11:42:00
R001,H023,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 11:45:00
R001,H023,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 11:46:00
R001,H023,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 11:50:00
R001,H024,v2.2,RELEASE_CREATED,,2026-01-01 11:50:00
R001,H024,v2.2,DEPLOYMENT_STARTED,,2026-01-01 11:51:00
R001,H024,v2.2,CANARY_STARTED,,2026-01-01 11:52:00
R001,H024,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 11:55:00
R001,H024,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 11:56:00
R001,H024,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 12:00:00
R001,H025,v2.2,RELEASE_CREATED,,2026-01-01 12:00:00
R001,H025,v2.2,DEPLOYMENT_STARTED,,2026-01-01 12:01:00
R001,H025,v2.2,CANARY_STARTED,,2026-01-01 12:02:00
R001,H025,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 12:05:00
R001,H025,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 12:06:00
R001,H025,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 12:10:00
R001,H026,v2.2,RELEASE_CREATED,,2026-01-01 12:10:00
R001,H026,v2.2,DEPLOYMENT_STARTED,,2026-01-01 12:11:00
R001,H026,v2.2,CANARY_STARTED,,2026-01-01 12:12:00
R001,H026,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 12:15:00
R001,H026,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 12:16:00
R001,H026,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 12:20:00
R001,H027,v2.2,RELEASE_CREATED,,2026-01-01 12:20:00
R001,H027,v2.2,DEPLOYMENT_STARTED,,2026-01-01 12:21:00
R001,H027,v2.2,CANARY_STARTED,,2026-01-01 12:22:00
R001,H027,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 12:25:00
R001,H027,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 12:26:00
R001,H027,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 12:30:00
R001,H028,v2.2,RELEASE_CREATED,,2026-01-01 12:30:00
R001,H028,v2.2,DEPLOYMENT_STARTED,,2026-01-01 12:31:00
R001,H028,v2.2,CANARY_STARTED,,2026-01-01 12:32:00
R001,H028,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 12:35:00
R001,H028,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 12:36:00
R001,H028,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 12:40:00
R001,H029,v2.2,RELEASE_CREATED,,2026-01-01 12:40:00
R001,H029,v2.2,DEPLOYMENT_STARTED,,2026-01-01 12:41:00
R001,H029,v2.2,CANARY_STARTED,,2026-01-01 12:42:00
R001,H029,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 12:45:00
R001,H029,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 12:46:00
R001,H029,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 12:50:00
R001,H030,v2.2,RELEASE_CREATED,,2026-01-01 12:50:00
R001,H030,v2.2,DEPLOYMENT_STARTED,,2026-01-01 12:51:00
R001,H030,v2.2,CANARY_STARTED,,2026-01-01 12:52:00
R001,H030,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 12:55:00
R001,H030,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 12:56:00
R001,H030,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 13:00:00
R001,H031,v2.2,RELEASE_CREATED,,2026-01-01 13:00:00
R001,H031,v2.2,DEPLOYMENT_STARTED,,2026-01-01 13:01:00
R001,H031,v2.2,CANARY_STARTED,,2026-01-01 13:02:00
R001,H031,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 13:05:00
R001,H031,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 13:06:00
R001,H031,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 13:10:00
R001,H032,v2.2,RELEASE_CREATED,,2026-01-01 13:10:00
R001,H032,v2.2,DEPLOYMENT_STARTED,,2026-01-01 13:11:00
R001,H032,v2.2,CANARY_STARTED,,2026-01-01 13:12:00
R001,H032,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 13:15:00
R001,H032,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 13:16:00
R001,H032,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 13:20:00
R001,H033,v2.2,RELEASE_CREATED,,2026-01-01 13:20:00
R001,H033,v2.2,DEPLOYMENT_STARTED,,2026-01-01 13:21:00
R001,H033,v2.2,CANARY_STARTED,,2026-01-01 13:22:00
R001,H033,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 13:25:00
R001,H033,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 13:26:00
R001,H033,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 13:30:00
R001,H034,v2.2,RELEASE_CREATED,,2026-01-01 13:30:00
R001,H034,v2.2,DEPLOYMENT_STARTED,,2026-01-01 13:31:00
R001,H034,v2.2,CANARY_STARTED,,2026-01-01 13:32:00
R001,H034,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 13:35:00
R001,H034,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 13:36:00
R001,H034,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 13:40:00
R001,H035,v2.2,RELEASE_CREATED,,2026-01-01 13:40:00
R001,H035,v2.2,DEPLOYMENT_STARTED,,2026-01-01 13:41:00
R001,H035,v2.2,CANARY_STARTED,,2026-01-01 13:42:00
R001,H035,v2.2,CANARY_EVALUATED,BLOCK,2026-01-01 13:45:00
R001,H035,v2.2,ROLLOUT_DECISION,BLOCK,2026-01-01 13:46:00
R001,H035,v2.2,ROLLOUT_STOPPED,BLOCK,2026-01-01 13:50:00
R001,H036,v2.2,RELEASE_CREATED,,2026-01-01 13:50:00
R001,H036,v2.2,DEPLOYMENT_STARTED,,2026-01-01 13:51:00
R001,H036,v2.2,CANARY_STARTED,,2026-01-01 13:52:00
R001,H036,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 13:55:00
R001,H036,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 13:56:00
R001,H036,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 14:00:00
R001,H037,v2.2,RELEASE_CREATED,,2026-01-01 14:00:00
R001,H037,v2.2,DEPLOYMENT_STARTED,,2026-01-01 14:01:00
R001,H037,v2.2,CANARY_STARTED,,2026-01-01 14:02:00
R001,H037,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 14:05:00
R001,H037,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 14:06:00
R001,H037,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 14:10:00
R001,H038,v2.2,RELEASE_CREATED,,2026-01-01 14:10:00
R001,H038,v2.2,DEPLOYMENT_STARTED,,2026-01-01 14:11:00
R001,H038,v2.2,CANARY_STARTED,,2026-01-01 14:12:00
R001,H038,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 14:15:00
R001,H038,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 14:16:00
R001,H038,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 14:20:00
R001,H039,v2.2,RELEASE_CREATED,,2026-01-01 14:20:00
R001,H039,v2.2,DEPLOYMENT_STARTED,,2026-01-01 14:21:00
R001,H039,v2.2,CANARY_STARTED,,2026-01-01 14:22:00
R001,H039,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 14:25:00
R001,H039,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 14:26:00
R001,H039,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 14:30:00
R001,H040,v2.2,RELEASE_CREATED,,2026-01-01 14:30:00
R001,H040,v2.2,DEPLOYMENT_STARTED,,2026-01-01 14:31:00
R001,H040,v2.2,CANARY_STARTED,,2026-01-01 14:32:00
R001,H040,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 14:35:00
R001,H040,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 14:36:00
R001,H040,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 14:40:00
R001,H041,v2.2,RELEASE_CREATED,,2026-01-01 14:40:00
R001,H041,v2.2,DEPLOYMENT_STARTED,,2026-01-01 14:41:00
R001,H041,v2.2,CANARY_STARTED,,2026-01-01 14:42:00
R001,H041,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 14:45:00
R001,H041,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 14:46:00
R001,H041,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 14:50:00
R001,H042,v2.2,RELEASE_CREATED,,2026-01-01 14:50:00
R001,H042,v2.2,DEPLOYMENT_STARTED,,2026-01-01 14:51:00
R001,H042,v2.2,CANARY_STARTED,,2026-01-01 14:52:00
R001,H042,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 14:55:00
R001,H042,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 14:56:00
R001,H042,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 15:00:00
R001,H043,v2.2,RELEASE_CREATED,,2026-01-01 15:00:00
R001,H043,v2.2,DEPLOYMENT_STARTED,,2026-01-01 15:01:00
R001,H043,v2.2,CANARY_STARTED,,2026-01-01 15:02:00
R001,H043,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 15:05:00
R001,H043,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 15:06:00
R001,H043,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 15:10:00
R001,H044,v2.2,RELEASE_CREATED,,2026-01-01 15:10:00
R001,H044,v2.2,DEPLOYMENT_STARTED,,2026-01-01 15:11:00
R001,H044,v2.2,CANARY_STARTED,,2026-01-01 15:12:00
R001,H044,v2.2,CANARY_EVALUATED,BLOCK,2026-01-01 15:15:00
R001,H044,v2.2,ROLLOUT_DECISION,BLOCK,2026-01-01 15:16:00
R001,H044,v2.2,ROLLOUT_STOPPED,BLOCK,2026-01-01 15:20:00
R001,H045,v2.2,RELEASE_CREATED,,2026-01-01 15:20:00
R001,H045,v2.2,DEPLOYMENT_STARTED,,2026-01-01 15:21:00
R001,H045,v2.2,CANARY_STARTED,,2026-01-01 15:22:00
R001,H045,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 15:25:00
R001,H045,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 15:26:00
R001,H045,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 15:30:00
R001,H046,v2.2,RELEASE_CREATED,,2026-01-01 15:30:00
R001,H046,v2.2,DEPLOYMENT_STARTED,,2026-01-01 15:31:00
R001,H046,v2.2,CANARY_STARTED,,2026-01-01 15:32:00
R001,H046,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 15:35:00
R001,H046,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 15:36:00
R001,H046,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 15:40:00
R001,H047,v2.2,RELEASE_CREATED,,2026-01-01 15:40:00
R001,H047,v2.2,DEPLOYMENT_STARTED,,2026-01-01 15:41:00
R001,H047,v2.2,CANARY_STARTED,,2026-01-01 15:42:00
R001,H047,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 15:45:00
R001,H047,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 15:46:00
R001,H047,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 15:50:00
R001,H048,v2.2,RELEASE_CREATED,,2026-01-01 15:50:00
R001,H048,v2.2,DEPLOYMENT_STARTED,,2026-01-01 15:51:00
R001,H048,v2.2,CANARY_STARTED,,2026-01-01 15:52:00
R001,H048,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 15:55:00
R001,H048,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 15:56:00
R001,H048,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 16:00:00
R001,H049,v2.2,RELEASE_CREATED,,2026-01-01 16:00:00
R001,H049,v2.2,DEPLOYMENT_STARTED,,2026-01-01 16:01:00
R001,H049,v2.2,CANARY_STARTED,,2026-01-01 16:02:00
R001,H049,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 16:05:00
R001,H049,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 16:06:00
R001,H049,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 16:10:00
R001,H050,v2.2,RELEASE_CREATED,,2026-01-01 16:10:00
R001,H050,v2.2,DEPLOYMENT_STARTED,,2026-01-01 16:11:00
R001,H050,v2.2,CANARY_STARTED,,2026-01-01 16:12:00
R001,H050,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 16:15:00
R001,H050,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 16:16:00
R001,H050,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 16:20:00
R002,H001,v2.3,RELEASE_CREATED,,2026-01-01 16:20:00
R002,H001,v2.3,DEPLOYMENT_STARTED,,2026-01-01 16:21:00
R002,H001,v2.3,CANARY_STARTED,,2026-01-01 16:22:00
R002,H001,v2.3,CANARY_EVALUATED,SAFE,2026-01-01 16:25:00
R002,H001,v2.3,ROLLOUT_DECISION,SAFE,2026-01-01 16:26:00
R002,H001,v2.3,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 16:30:00
R002,H002,v2.3,RELEASE_CREATED,,2026-01-01 16:30:00
R002,H002,v2.3,DEPLOYMENT_STARTED,,2026-01-01 16:31:00
R002,H002,v2.3,CANARY_STARTED,,2026-01-01 16:32:00
R002,H002,v2.3,CANARY_EVALUATED,SAFE,2026-01-01 16:35:00
R002,H002,v2.3,ROLLOUT_DECISION,SAFE,2026-01-01 16:36:00
R002,H002,v2.3,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 16:40:00
R002,H003,v2.3,RELEASE_CREATED,,2026-01-01 16:40:00
R002,H003,v2.3,DEPLOYMENT_STARTED,,2026-01-01 16:41:00
R002,H003,v2.3,CANARY_STARTED,,2026-01-01 16:42:00
R002,H003,v2.3,CANARY_EVALUATED,SAFE,2026-01-01 16:45:00
R002,H003,v2.3,ROLLOUT_DECISION,SAFE,2026-01-01 16:46:00
R002,H003,v2.3,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 16:50:00
R002,H004,v2.3,RELEASE_CREATED,,2026-01-01 16:50:00
R002,H004,v2.3,DEPLOYMENT_STARTED,,2026-01-01 16:51:00
R002,H004,v2.3,CANARY_STARTED,,2026-01-01 16:52:00
R002,H004,v2.3,CANARY_EVALUATED,HOLD,2026-01-01 16:55:00
R002,H004,v2.3,ROLLOUT_DECISION,HOLD,2026-01-01 16:56:00
R002,H004,v2.3,ROLLOUT_STOPPED,HOLD,2026-01-01 17:00:00
R002,H005,v2.3,RELEASE_CREATED,,2026-01-01 17:00:00
R002,H005,v2.3,DEPLOYMENT_STARTED,,2026-01-01 17:01:00
R002,H005,v2.3,CANARY_STARTED,,2026-01-01 17:02:00
R002,H005,v2.3,CANARY_EVALUATED,SAFE,2026-01-01 17:05:00
R002,H005,v2.3,ROLLOUT_DECISION,SAFE,2026-01-01 17:06:00
R002,H005,v2.3,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 17:10:00
R002,H006,v2.3,RELEASE_CREATED,,2026-01-01 17:10:00
R002,H006,v2.3,DEPLOYMENT_STARTED,,2026-01-01 17:11:00
R002,H006,v2.3,CANARY_STARTED,,2026-01-01 17:12:00
R002,H006,v2.3,CANARY_EVALUATED,SAFE,2026-01-01 17:15:00
R002,H006,v2.3,ROLLOUT_DECISION,SAFE,2026-01-01 17:16:00
R002,H006,v2.3,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 17:20:00
R002,H007,v2.3,RELEASE_CREATED,,2026-01-01 17:20:00
R002,H007,v2.3,DEPLOYMENT_STARTED,,2026-01-01 17:21:00
R002,H007,v2.3,CANARY_STARTED,,2026-01-01 17:22:00
R002,H007,v2.3,CANARY_EVALUATED,SAFE,2026-01-01 17:25:00
R002,H007,v2.3,ROLLOUT_DECISION,SAFE,2026-01-01 17:26:00
R002,H007,v2.3,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 17:30:00
R002,H008,v2.3,RELEASE_CREATED,,2026-01-01 17:30:00
R002,H008,v2.3,DEPLOYMENT_STARTED,,2026-01-01 17:31:00
R002,H008,v2.3,CANARY_STARTED,,2026-01-01 17:32:00
R002,H008,v2.3,CANARY_EVALUATED,SAFE,2026-01-01 17:35:00
R002,H008,v2.3,ROLLOUT_DECISION,SAFE,2026-01-01 17:36:00
R002,H008,v2.3,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 17:40:00
R002,H009,v2.3,RELEASE_CREATED,,2026-01-01 17:40:00
