release_id,hospital_id,version,rollout_stage,cpu_usage,memory_usage,error_rate,latency_ms,error_budget_remaining,stable_error_rate,stable_latency_ms,canary_error_rate,deployment_status,harmful
R002,H002,v2.3,5,54.72,60.21,0.58,273.44,69.86,0.7,203.07,1.39,SUCCESS,False
R002,H003,v2.3,25,34.39,56.65,1.36,194.79,82.44,1.76,113.38,1.39,SUCCESS,False
R002,H004,v2.3,25,100.0,45.91,2.75,221.51,74.91,1.38,184.67,1.11,SUCCESS,False
R002,H005,v2.3,5,44.08,48.09,0.93,279.35,76.23,0.87,124.1,0.7,SUCCESS,False
R002,H006,v2.3,10,44.23,61.04,0.93,233.73,77.84,1.95,229.83,2.82,SUCCESS,False
R002,H007,v2.3,5,33.72,55.38,0.79,222.12,79.06,0.99,163.82,1.22,SUCCESS,False
R002,H008,v2.3,5,60.06,50.38,1.14,236.3,79.78,1.0,120.16,2.4,SUCCESS,False
R002,H009,v2.3,100,53.71,50.17,2.85,136.25,87.06,1.75,244.75,0.67,SUCCESS,False
R002,H010,v2.3,50,53.94,51.63,2.16,204.61,93.86,0.8,124.55,1.4,SUCCESS,False
R002,H011,v2.3,10,50.18,68.41,1.08,279.91,77.18,1.19,145.21,1.46,IN_PROGRESS,False
R002,H012,v2.3,100,53.38,51.68,2.05,206.69,89.43,1.44,150.24,2.73,SUCCESS,False
R002,H013,v2.3,25,54.79,57.67,1.36,264.25,92.32,0.55,185.48,0.78,SUCCESS,False
R002,H014,v2.3,5,58.7,65.85,2.23,208.54,67.28,0.84,208.34,1.13,SUCCESS,False
R002,H015,v2.3,10,52.8,46.0,1.76,222.29,93.61,1.19,242.09,0.55,IN_PROGRESS,False
R002,H016,v2.3,100,68.82,65.76,1.56,247.29,96.28,1.56,122.88,2.84,SUCCESS,False
R002,H017,v2.3,50,,63.75,1.98,179.8,66.76,0.69,238.13,0.64,SUCCESS,False
R002,H018,v2.3,10,34.44,32.72,2.8,217.41,95.64,1.8,238.44,0.58,SUCCESS,False
R002,H019,v2.3,5,40.93,49.23,1.03,203.03,72.95,0.97,217.07,2.94,SUCCESS,False
R002,H020,v2.3,5,36.37,39.71,2.5,169.88,81.25,0.95,146.49,1.67,SUCCESS,False
R002,H021,v2.3,5,34.65,77.37,1.74,253.07,66.72,1.57,179.15,0.76,SUCCESS,False
R002,H022,v2.3,50,47.43,63.19,1.88,150.78,75.28,1.29,220.11,0.99,SUCCESS,False
R002,H023,v2.3,50,62.5,58.36,2.91,288.88,70.32,1.34,208.12,0.85,SUCCESS,False
R002,H024,v2.3,25,53.3,61.96,2.26,282.12,66.79,1.77,118.42,2.06,SUCCESS,False
R002,H025,v2.3,50,59.5,52.11,1.05,294.91,55.71,1.02,216.08,2.45,SUCCESS,False
R002,H026,v2.3,5,58.7,63.46,1.51,143.6,71.09,1.23,176.87,2.11,SUCCESS,False
R002,H027,v2.3,25,49.92,65.87,0.67,181.05,86.01,1.73,179.45,1.74,SUCCESS,False
R002,H028,v2.3,5,49.01,73.38,1.93,267.62,88.55,1.6,137.61,1.51,SUCCESS,False
R002,H029,v2.3,5,58.24,54.0,2.3,222.08,69.83,0.64,215.65,2.87,IN_PROGRESS,False
R002,H030,v2.3,5,52.36,56.86,2.89,130.93,73.71,1.31,124.3,2.06,SUCCESS,False
R002,H031,v2.3,25,59.86,50.24,2.91,258.0,76.07,1.4,168.95,2.23,SUCCESS,False
R002,H032,v2.3,25,50.4,55.09,2.76,229.33,52.58,1.64,208.62,2.23,SUCCESS,False
R002,H033,v2.3,100,42.67,52.11,2.33,138.52,71.09,1.33,170.98,0.79,SUCCESS,False
R002,H034,v2.3,10,37.26,66.31,1.9,196.21,76.51,1.28,196.68,2.71,SUCCESS,False
R002,H035,v2.3,50,,68.71,1.57,275.33,73.1,1.31,199.25,1.54,IN_PROGRESS,False
R002,H036,v2.3,100,62.23,49.53,1.5,195.98,93.68,1.7,249.69,2.07,IN_PROGRESS,False
R002,H037,v2.3,10,47.0,48.56,1.22,159.26,52.1,1.61,135.82,1.08,SUCCESS,False
R002,H038,v2.3,10,48.34,48.4,2.7,288.95,80.67,1.52,132.74,1.67,SUCCESS,False
R002,H039,v2.3,100,34.3,55.59,0.94,144.1,88.98,1.47,191.16,0.97,SUCCESS,False
R002,H040,v2.3,50,46.27,45.61,2.4,239.2,90.79,1.89,249.24,0.88,SUCCESS,False
R002,H041,v2.3,25,46.37,59.67,0.82,277.75,93.11,1.37,113.72,2.89,SUCCESS,False
R002,H042,v2.3,5,58.84,47.39,1.74,116.21,84.16,1.11,155.9,1.05,SUCCESS,False
R002,H043,v2.3,10,63.24,45.95,1.91,153.41,89.87,1.39,223.7,2.7,SUCCESS,False
R002,H044,v2.3,25,60.09,67.25,2.38,131.72,93.59,1.76,204.62,2.7,SUCCESS,False
R002,H045,v2.3,10,54.18,58.2,1.77,101.28,80.85,1.62,124.11,1.22,IN_PROGRESS,False
R002,H046,v2.3,25,52.67,51.79,1.85,292.6,81.63,1.31,216.98,1.35,IN_PROGRESS,False
R002,H047,v2.3,25,46.37,56.4,1.96,169.18,52.29,0.6,145.14,2.05,SUCCESS,False
R002,H048,v2.3,25,48.69,38.72,2.43,236.66,63.68,0.7,213.74,1.61,IN_PROGRESS,False
R002,H049,v2.3,5,61.22,65.48,1.18,290.17,71.62,1.69,204.05,0.88,IN_PROGRESS,False
R002,H050,v2.3,10,58.98,53.35,1.07,142.62,82.58,0.91,247.6,0.58,SUCCESS,False
R003,H001,v2.4,5,55.7,58.58,2.4,225.24,51.63,1.8,216.49,0.83,IN_PROGRESS,False
R003,H002,v2.4,10,43.24,69.41,1.0,198.32,79.1,0.68,118.78,0.66,SUCCESS,False
R003,H003,v2.4,10,45.48,35.61,2.0,158.33,93.01,0.52,110.87,2.24,SUCCESS,False
R003,H004,v2.4,5,49.96,45.73,2.05,240.49,50.49,0.86,248.0,1.9,SUCCESS,False
R003,H005,v2.4,10,39.98,52.75,1.92,237.89,60.01,0.55,111.79,2.5,SUCCESS,False
R003,H006,v2.4,25,50.6,49.82,2.27,274.19,90.09,0.55,240.43,2.29,SUCCESS,False
R003,H007,v2.4,50,70.75,49.49,1.82,246.32,53.02,1.32,222.59,0.7,SUCCESS,False
R003,H008,v2.4,5,55.23,50.41,2.15,199.64,85.96,1.96,150.53,1.89,SUCCESS,False
R003,H009,v2.4,25,47.43,41.65,2.67,245.43,71.27,0.8,202.03,2.36,SUCCESS,False
R003,H010,v2.4,5,66.84,51.33,1.72,274.68,71.09,1.8,186.8,2.75,SUCCESS,False
R003,H011,v2.4,5,43.74,58.17,2.29,281.81,61.88,1.43,194.73,0.95,IN_PROGRESS,False
R003,H012,v2.4,10,57.72,32.21,1.4,218.59,69.55,0.87,230.61,0.91,IN_PROGRESS,False
R003,H013,v2.4,10,49.53,58.82,1.09,114.7,75.99,1.66,119.63,0.92,SUCCESS,False
R003,H014,v2.4,5,46.51,52.21,0.59,247.28,73.73,1.43,206.02,2.16,SUCCESS,False
R003,H015,v2.4,50,49.28,54.7,1.83,287.32,56.11,0.81,116.79,0.6,SUCCESS,False
R003,H016,v2.4,10,,57.77,1.64,203.12,83.34,0.56,122.25,1.72,SUCCESS,False
R003,H017,v2.4,100,56.0,48.52,0.89,146.91,62.77,1.6,124.36,2.91,SUCCESS,False
R003,H018,v2.4,5,53.73,59.06,0.78,259.1,80.03,0.87,224.63,2.8,IN_PROGRESS,False
R003,H019,v2.4,25,33.87,62.45,2.67,298.67,54.52,1.02,123.89,2.38,SUCCESS,False
R003,H020,v2.4,50,57.9,51.87,1.44,159.37,66.42,1.89,165.73,2.12,SUCCESS,False
R003,H021,v2.4,10,28.49,69.15,0.54,217.41,82.13,1.32,189.47,0.92,SUCCESS,False
R003,H022,v2.4,100,50.9,45.55,1.12,195.34,77.47,1.77,237.14,1.49,SUCCESS,False
R003,H023,v2.4,50,38.13,67.25,0.99,195.84,58.32,1.15,234.51,0.99,SUCCESS,False
R003,H024,v2.4,100,52.54,51.16,1.5,295.35,76.12,1.3,187.14,2.56,SUCCESS,False
R003,H025,v2.4,5,41.77,53.8,2.54,174.7,55.62,0.94,219.01,1.82,SUCCESS,False
R003,H026,v2.4,25,45.37,46.35,2.76,253.99,62.78,1.69,196.99,1.89,SUCCESS,False
R003,H027,v2.4,25,47.55,45.98,0.88,147.05,73.64,1.71,215.0,2.67,SUCCESS,False
R003,H028,v2.4,5,57.34,44.18,0.65,128.35,79.85,0.81,195.69,1.19,SUCCESS,False
R003,H029,v2.4,25,53.9,64.63,1.34,281.1,63.24,0.52,151.16,2.43,SUCCESS,False
R003,H030,v2.4,10,62.39,53.28,2.17,113.99,63.56,1.02,192.57,2.1,SUCCESS,False
R003,H031,v2.4,10,35.0,44.36,2.99,189.27,79.02,0.79,107.85,1.33,SUCCESS,False
R003,H032,v2.4,50,62.49,52.6,0.5,160.17,73.74,0.76,161.42,2.95,SUCCESS,False
R003,H033,v2.4,5,57.73,45.76,0.73,151.41,93.23,1.61,215.29,2.47,SUCCESS,False
R003,H034,v2.4,5,38.43,42.7,1.37,147.81,91.26,0.68,134.1,1.77,SUCCESS,False
R003,H035,v2.4,5,30.06,64.75,1.75,179.44,81.4,1.68,186.19,1.85,SUCCESS,False
R003,H036,v2.4,5,45.66,50.65,2.89,214.61,78.76,0.82,222.81,2.83,SUCCESS,False
R003,H037,v2.4,5,52.87,54.08,2.56,233.26,73.91,1.85,224.4,0.8,SUCCESS,False
R003,H038,v2.4,50,57.26,51.33,0.5,103.54,68.24,0.68,189.14,2.01,SUCCESS,False
R003,H039,v2.4,5,35.04,62.06,1.58,134.13,89.13,1.23,213.14,0.69,SUCCESS,False
R003,H040,v2.4,25,42.67,49.39,0.93,231.14,86.22,1.45,134.33,2.62,SUCCESS,False
R003,H041,v2.4,10,45.94,45.7,2.91,149.72,70.93,1.29,172.25,0.83,SUCCESS,False
R003,H042,v2.4,5,54.16,63.61,1.0,112.92,68.57,1.43,148.53,0.61,SUCCESS,False
R003,H043,v2.4,5,46.1,59.43,2.13,262.14,92.98,0.72,119.08,2.04,SUCCESS,False
R003,H044,v2.4,5,53.25,53.67,1.13,256.23,74.77,1.49,241.42,2.56,SUCCESS,False
R003,H045,v2.4,50,43.96,54.39,0.6,249.24,90.11,1.18,232.37,2.15,SUCCESS,False
R003,H046,v2.4,10,43.89,64.56,1.53,209.92,53.44,1.19,248.74,2.58,SUCCESS,False
R003,H047,v2.4,50,47.89,54.06,2.9,195.65,66.11,1.67,134.18,2.74,SUCCESS,False
R003,H048,v2.4,10,39.26,57.91,0.61,122.16,54.75,1.88,178.12,2.0,SUCCESS,False
R003,H049,v2.4,5,49.54,71.34,0.53,298.48,65.85,0.91,239.25,2.18,SUCCESS,False
R003,H050,v2.4,25,53.72,67.79,0.95,110.77,87.66,0.83,246.76,1.3,SUCCESS,False
R004,H001,v2.5,25,60.65,74.6,7.4,565.37,22.3,0.64,244.77,10.31,FAILED,True
R004,H002,v2.5,5,60.68,72.67,8.91,724.7,26.44,1.37,231.57,10.19,SUCCESS,True
R004,H003,v2.5,25,80.2,86.87,9.82,550.1,15.72,0.97,211.35,8.77,FAILED,True
R004,H004,v2.5,5,88.52,82.84,10.89,588.13,3.74,1.62,213.8,8.51,SUCCESS,True
R004,H005,v2.5,5,70.01,63.19,7.82,749.7,21.7,0.71,199.46,8.57,SUCCESS,True
R004,H006,v2.5,5,71.32,75.66,7.25,654.6,20.86,1.23,189.91,6.04,FAILED,True
R004,H007,v2.5,50,79.33,69.21,6.65,548.57,24.04,1.28,156.02,5.44,FAILED,True
R004,H008,v2.5,5,81.54,65.57,11.94,698.89,28.51,1.46,174.42,10.18,SUCCESS,True
R004,H009,v2.5,5,95.16,82.35,11.51,713.03,25.58,1.55,187.87,5.39,SUCCESS,True
R004,H010,v2.5,10,85.91,89.28,5.35,761.57,23.41,1.15,240.6,11.37,SUCCESS,True
R004,H011,v2.5,5,71.17,74.82,6.98,417.84,8.27,1.1,238.39,5.25,SUCCESS,True
R004,H012,v2.5,10,66.39,70.16,10.97,418.6,16.86,1.14,226.72,9.34,SUCCESS,True
R004,H013,v2.5,5,62.24,76.38,11.17,557.38,23.63,0.86,209.87,10.8,FAILED,True
R004,H014,v2.5,5,59.76,64.27,11.63,786.94,0.66,1.59,128.68,6.28,FAILED,True
R004,H015,v2.5,25,69.1,61.03,8.8,716.68,18.39,1.32,247.08,8.84,SUCCESS,True
R004,H016,v2.5,5,94.59,72.39,7.03,714.79,10.68,1.5,132.41,5.78,ROLLED_BACK,True
R004,H017,v2.5,10,84.55,83.09,5.13,450.5,4.85,1.81,181.73,9.62,SUCCESS,True
R004,H018,v2.5,50,71.78,68.03,6.98,556.29,11.16,1.34,182.88,10.59,SUCCESS,True
R004,H019,v2.5,10,71.91,67.71,10.3,510.58,19.28,0.79,128.01,7.19,SUCCESS,True
R004,H020,v2.5,10,56.21,87.98,11.28,467.54,17.94,1.34,124.91,8.55,SUCCESS,True
R004,H021,v2.5,50,79.08,69.58,7.24,795.37,3.67,0.97,219.79,8.4,FAILED,True
R004,H022,v2.5,100,67.76,77.77,5.21,729.18,11.37,1.48,119.47,6.47,ROLLED_BACK,True
R004,H023,v2.5,100,59.06,85.83,6.78,727.7,15.76,0.67,213.94,11.16,SUCCESS,True
R004,H024,v2.5,25,65.59,81.09,9.3,574.2,22.14,1.13,235.8,9.04,FAILED,True
R004,H025,v2.5,5,63.92,80.04,9.59,796.7,2.31,1.61,115.95,5.51,SUCCESS,True
R004,H026,v2.5,10,92.5,69.84,11.33,493.11,1.77,0.6,214.47,10.65,ROLLED_BACK,True
R004,H027,v2.5,5,59.24,69.21,7.67,,24.07,0.75,158.46,7.89,SUCCESS,True
R004,H028,v2.5,100,81.16,72.4,10.28,721.96,28.88,0.92,228.75,5.13,FAILED,True
R004,H029,v2.5,5,79.41,93.38,5.68,496.76,14.06,1.81,116.89,5.09,SUCCESS,True
R004,H030,v2.5,5,86.4,92.11,11.25,474.13,7.19,1.61,107.22,5.55,FAILED,True
R004,H031,v2.5,100,63.87,77.38,5.66,763.85,24.88,1.78,178.22,9.68,ROLLED_BACK,True
R004,H032,v2.5,10,81.13,88.74,11.25,577.35,18.94,0.98,165.19,9.25,FAILED,True
R004,H033,v2.5,10,100.0,73.24,11.65,640.26,15.19,0.66,157.68,10.21,FAILED,True
R004,H034,v2.5,10,69.85,68.08,11.8,532.54,5.88,1.21,106.85,8.37,FAILED,True
R004,H035,v2.5,10,71.29,67.48,10.62,628.82,8.8,0.51,101.15,8.59,ROLLED_BACK,True
R004,H036,v2.5,25,87.91,75.21,8.45,680.9,3.94,0.67,151.78,11.95,SUCCESS,True
R004,H037,v2.5,10,56.03,83.95,10.77,782.02,0.05,1.86,207.1,10.75,FAILED,True
R004,H038,v2.5,5,71.78,66.09,8.19,547.62,12.57,1.41,202.99,5.85,FAILED,True
R004,H039,v2.5,10,61.92,89.11,9.16,404.05,27.4,1.91,200.29,9.45,FAILED,True
R004,H040,v2.5,5,61.28,76.09,5.08,568.81,14.58,1.85,109.97,7.07,FAILED,True
R004,H041,v2.5,25,86.63,79.27,9.85,571.97,8.26,1.01,209.38,9.71,SUCCESS,True
R004,H042,v2.5,50,73.39,83.11,7.23,632.88,18.03,1.73,228.63,7.6,FAILED,True
R004,H043,v2.5,5,71.3,82.8,6.08,410.18,19.11,1.15,121.39,9.52,SUCCESS,True
R004,H044,v2.5,10,60.19,69.08,,581.6,4.22,1.52,190.87,9.82,SUCCESS,True
R004,H045,v2.5,5,73.22,82.36,7.77,525.28,14.64,0.65,131.33,6.03,SUCCESS,True
R004,H046,v2.5,10,75.17,76.56,5.62,642.75,0.93,1.21,166.62,6.06,ROLLED_BACK,True
R004,H047,v2.5,10,82.88,70.09,7.49,730.73,5.32,1.3,125.25,9.96,SUCCESS,True
R004,H048,v2.5,50,78.89,71.42,6.45,712.96,9.01,1.32,124.79,10.14,SUCCESS,True
R004,H049,v2.5,25,81.29,77.71,5.93,637.21,10.6,0.72,227.88,9.19,SUCCESS,True
R004,H050,v2.5,10,68.72,74.63,11.79,779.64,2.81,0.59,202.11,8.59,FAILED,True
R005,H001,v2.6,10,57.42,56.5,1.41,245.14,72.8,1.34,166.18,2.74,SUCCESS,False
R005,H002,v2.6,50,36.15,62.7,1.1,162.38,51.54,1.21,249.42,1.14,IN_PROGRESS,False
R005,H003,v2.6,50,50.79,63.64,2.08,228.89,66.67,1.89,104.58,2.55,SUCCESS,False
R005,H004,v2.6,100,48.76,52.15,2.08,113.81,96.85,0.8,249.2,0.51,SUCCESS,False
R005,H005,v2.6,25,40.4,62.8,2.22,104.9,77.46,0.66,159.87,1.27,SUCCESS,False
R005,H006,v2.6,5,42.84,57.69,2.61,148.45,57.26,0.65,230.34,1.7,SUCCESS,False
R005,H007,v2.6,50,45.31,49.42,0.56,216.65,77.45,1.1,143.88,2.61,SUCCESS,False
R005,H008,v2.6,10,56.78,58.25,1.63,264.29,81.85,1.64,128.18,1.89,SUCCESS,False
R005,H009,v2.6,10,43.05,67.46,0.9,276.4,86.09,0.93,184.49,2.56,SUCCESS,False
R005,H010,v2.6,5,58.85,56.67,1.96,193.39,97.02,1.67,207.26,1.35,SUCCESS,False
R005,H011,v2.6,5,58.59,56.21,2.86,184.48,96.82,1.35,229.98,1.44,SUCCESS,False
R005,H012,v2.6,25,41.58,58.28,1.14,275.1,63.92,1.9,226.64,0.96,SUCCESS,False
R005,H013,v2.6,5,25.75,54.76,,195.19,81.72,1.21,195.15,0.78,SUCCESS,False
R005,H014,v2.6,10,56.22,45.89,1.68,276.03,83.89,1.73,227.55,1.04,SUCCESS,False
R005,H015,v2.6,25,38.11,68.14,2.28,139.84,64.37,1.61,147.34,2.73,SUCCESS,False
R005,H016,v2.6,10,47.71,47.05,1.73,180.86,79.76,0.9,225.32,1.83,SUCCESS,False
R005,H017,v2.6,10,57.15,60.75,1.8,295.2,50.85,1.52,146.78,0.81,SUCCESS,False
R005,H018,v2.6,5,51.02,67.39,1.37,174.35,64.99,0.53,144.0,0.5,SUCCESS,False
R005,H019,v2.6,5,47.77,66.92,1.5,160.58,61.41,1.85,217.48,0.66,SUCCESS,False
R005,H020,v2.6,10,50.21,56.85,2.91,115.12,61.27,0.59,243.67,1.41,SUCCESS,False
R005,H021,v2.6,50,54.98,64.12,1.47,234.83,67.26,1.37,122.04,1.15,IN_PROGRESS,False
R005,H022,v2.6,50,41.65,71.72,0.84,291.59,62.09,1.56,109.33,1.82,SUCCESS,False
R005,H023,v2.6,5,27.88,67.27,0.61,133.15,60.46,1.71,168.95,1.61,SUCCESS,False
R005,H024,v2.6,50,34.02,58.7,1.59,218.71,81.12,1.78,136.3,0.68,IN_PROGRESS,False
R005,H025,v2.6,100,54.26,55.15,2.39,132.33,85.92,1.92,244.02,1.69,SUCCESS,False
R005,H026,v2.6,5,46.87,54.99,0.52,171.41,61.43,1.35,215.74,2.82,SUCCESS,False
R005,H027,v2.6,50,45.63,54.47,1.7,232.49,64.44,1.59,114.31,0.8,SUCCESS,False
R005,H028,v2.6,5,64.2,50.2,2.8,290.19,67.86,1.64,155.76,1.94,SUCCESS,False
R005,H029,v2.6,10,50.14,47.37,1.05,107.79,58.76,1.48,136.06,0.59,SUCCESS,False
R005,H030,v2.6,25,66.17,55.83,1.21,170.61,97.32,1.15,187.01,2.74,SUCCESS,False
R005,H031,v2.6,10,37.48,57.91,1.33,271.01,53.56,1.25,130.7,1.02,SUCCESS,False
R005,H032,v2.6,10,62.36,46.43,2.43,230.93,93.79,1.72,225.37,0.88,SUCCESS,False
R005,H033,v2.6,5,43.24,55.27,,145.23,65.2,0.69,214.83,1.26,SUCCESS,False
R005,H034,v2.6,10,64.83,51.15,2.02,279.21,62.64,1.6,196.1,2.55,SUCCESS,False
R005,H035,v2.6,100,52.54,67.55,0.87,176.14,87.69,1.11,133.07,1.54,SUCCESS,False
R005,H036,v2.6,5,54.75,53.83,2.08,125.99,89.04,1.44,172.28,1.9,SUCCESS,False
R005,H037,v2.6,10,45.82,62.54,0.58,110.38,60.67,0.74,127.03,0.86,SUCCESS,False
R005,H038,v2.6,50,31.2,58.95,1.71,201.33,95.33,1.51,165.3,1.47,SUCCESS,False
R005,H039,v2.6,50,51.32,47.81,1.75,241.24,77.04,1.42,226.49,1.84,SUCCESS,False
R005,H040,v2.6,5,51.87,56.84,2.19,225.01,90.82,1.94,207.16,1.29,SUCCESS,False
R005,H041,v2.6,100,36.55,60.46,0.91,137.38,69.53,1.78,247.29,0.55,SUCCESS,False
R005,H042,v2.6,10,42.71,44.78,0.71,166.69,53.61,1.82,190.83,2.19,SUCCESS,False
R005,H043,v2.6,50,56.71,,2.0,298.07,97.06,1.6,117.43,1.31,IN_PROGRESS,False
R005,H044,v2.6,5,65.14,50.09,2.26,184.55,69.88,1.96,117.0,1.37,SUCCESS,False
R005,H045,v2.6,5,50.88,58.17,0.69,115.12,64.86,0.93,198.51,2.88,SUCCESS,False
R005,H046,v2.6,25,61.9,63.11,2.03,162.58,79.88,0.9,102.27,1.18,SUCCESS,False
R005,H047,v2.6,5,47.85,57.21,1.97,240.23,70.41,1.92,210.48,2.2,SUCCESS,False
R005,H048,v2.6,10,46.15,58.36,2.18,295.4,50.42,1.94,159.86,0.75,SUCCESS,False
R005,H049,v2.6,100,66.77,51.06,0.52,217.89,81.88,1.15,138.81,2.03,SUCCESS,False
R005,H050,v2.6,5,43.01,48.04,1.12,112.51,86.64,1.82,210.81,1.65,SUCCESS,False
R006,H001,v2.7,50,50.76,60.94,1.0,223.36,86.9,1.71,223.45,2.36,SUCCESS,False
R006,H002,v2.7,100,42.14,43.95,2.74,233.29,72.72,1.38,180.75,2.47,SUCCESS,False
R006,H003,v2.7,10,44.5,61.88,1.61,104.38,75.13,1.16,197.4,1.25,SUCCESS,False
R006,H004,v2.7,5,37.43,61.51,0.9,132.09,59.28,1.65,161.45,0.68,SUCCESS,False
R006,H005,v2.7,25,39.15,48.4,1.79,207.11,67.69,0.67,143.38,1.39,SUCCESS,False
