release_id,hospital_id,version,rollout_stage,cpu_usage,memory_usage,error_rate,latency_ms,error_budget_remaining,stable_error_rate,stable_latency_ms,canary_error_rate,deployment_status,harmful,missing_metric,noisy_metric,error_budget_status,canary_error_difference,canary_latency_difference,canary_error_ratio,canary_risk,fallback_action,risk_score,risk_decision
R001,H014,v2.2,25,55.87,72.52,0.73,267.06,59.33,1.05,194.85,1.3,SUCCESS,False,False,False,HEALTHY,0.25,72.21000000000001,1.2380952380952381,SAFE,PROCESS,0,SAFE
R001,H015,v2.2,5,39.38,58.79,2.23,177.35,56.88,1.27,133.97,2.84,SUCCESS,False,False,False,HEALTHY,1.5699999999999998,43.379999999999995,2.236220472440945,WARNING,PROCESS,20,SAFE
R001,H016,v2.2,50,52.27,65.46,1.82,148.37,94.86,0.89,199.0,0.73,IN_PROGRESS,False,False,False,HEALTHY,-0.16000000000000003,-50.629999999999995,0.8202247191011236,SAFE,PROCESS,5,SAFE
R001,H017,v2.2,10,52.5,,2.11,116.83,94.93,1.59,234.57,0.9,SUCCESS,False,True,False,HEALTHY,-0.6900000000000001,-117.74,0.5660377358490566,SAFE,HOLD,0,HOLD
R001,H018,v2.2,100,21.21,48.57,2.99,135.19,74.69,0.93,145.8,0.55,SUCCESS,False,False,False,HEALTHY,-0.38,-10.610000000000014,0.5913978494623656,SAFE,PROCESS,0,SAFE
R001,H019,v2.2,25,72.73,56.18,1.13,217.97,74.34,0.96,181.38,2.95,IN_PROGRESS,False,False,False,HEALTHY,1.9900000000000002,36.59,3.072916666666667,WARNING,PROCESS,25,SAFE
R001,H020,v2.2,25,49.95,42.43,1.93,253.71,99.73,1.5,229.63,0.61,SUCCESS,False,False,False,HEALTHY,-0.89,24.080000000000013,0.4066666666666667,SAFE,PROCESS,0,SAFE
R001,H021,v2.2,25,71.19,67.37,2.95,115.07,59.55,1.93,149.61,1.26,SUCCESS,False,False,False,HEALTHY,-0.6699999999999999,-34.54000000000002,0.6528497409326425,SAFE,PROCESS,0,SAFE
R001,H022,v2.2,10,38.52,66.12,1.14,159.06,92.43,1.77,239.5,1.31,SUCCESS,False,False,False,HEALTHY,-0.45999999999999996,-80.44,0.7401129943502825,SAFE,PROCESS,0,SAFE
R001,H023,v2.2,5,42.67,56.56,0.51,225.58,53.55,1.13,138.43,0.99,SUCCESS,False,False,False,HEALTHY,-0.1399999999999999,87.15,0.8761061946902655,SAFE,PROCESS,0,SAFE
R001,H024,v2.2,5,38.0,64.61,0.89,296.37,93.02,1.37,165.77,2.6,SUCCESS,False,False,False,HEALTHY,1.23,130.6,1.897810218978102,WARNING,PROCESS,20,SAFE
R001,H025,v2.2,10,62.1,53.79,0.99,182.27,56.92,0.99,224.18,2.25,SUCCESS,False,False,False,HEALTHY,1.26,-41.91,2.272727272727273,WARNING,PROCESS,20,SAFE
R001,H026,v2.2,5,41.42,61.72,0.96,116.17,84.42,1.1,165.03,1.57,SUCCESS,False,False,False,HEALTHY,0.47,-48.86,1.4272727272727272,SAFE,PROCESS,0,SAFE
R001,H027,v2.2,5,51.84,59.62,1.79,231.42,86.5,0.64,127.43,1.59,SUCCESS,False,False,False,HEALTHY,0.9500000000000001,103.98999999999998,2.484375,WARNING,PROCESS,20,SAFE
R001,H028,v2.2,5,47.19,50.17,2.95,135.07,88.17,1.01,113.77,0.54,SUCCESS,False,False,False,HEALTHY,-0.47,21.299999999999997,0.5346534653465347,SAFE,PROCESS,0,SAFE
R001,H029,v2.2,25,46.76,59.2,0.54,286.69,76.97,0.57,242.37,1.75,SUCCESS,False,False,False,HEALTHY,1.1800000000000002,44.31999999999999,3.0701754385964914,WARNING,PROCESS,20,SAFE
R001,H030,v2.2,100,56.08,63.26,1.93,125.7,91.03,1.8,195.46,2.53,SUCCESS,False,False,False,HEALTHY,0.7299999999999998,-69.76,1.4055555555555554,SAFE,PROCESS,0,SAFE
R001,H031,v2.2,5,45.81,54.11,2.05,167.31,69.27,0.91,132.19,2.14,SUCCESS,False,False,False,HEALTHY,1.23,35.120000000000005,2.3516483516483517,WARNING,PROCESS,20,SAFE
R001,H032,v2.2,10,54.49,54.37,1.87,184.69,78.8,1.54,152.25,1.92,SUCCESS,False,False,False,HEALTHY,0.3799999999999999,32.44,1.2467532467532467,SAFE,PROCESS,0,SAFE
R001,H033,v2.2,25,57.64,46.11,2.35,147.65,76.72,1.8,184.28,1.44,SUCCESS,False,False,False,HEALTHY,-0.3600000000000001,-36.629999999999995,0.7999999999999999,SAFE,PROCESS,0,SAFE
R001,H034,v2.2,5,45.89,62.87,2.89,235.35,74.65,0.58,243.78,1.71,SUCCESS,False,False,False,HEALTHY,1.13,-8.430000000000007,2.9482758620689657,WARNING,PROCESS,20,SAFE
R001,H035,v2.2,25,46.57,56.99,2.83,294.85,52.79,0.82,241.93,2.99,SUCCESS,False,False,False,HEALTHY,2.1700000000000004,52.920000000000016,3.6463414634146347,CRITICAL,PROCESS,40,BLOCK
R001,H036,v2.2,100,50.56,55.48,1.57,144.52,94.59,1.53,225.54,1.49,SUCCESS,False,False,False,HEALTHY,-0.040000000000000036,-81.01999999999998,0.9738562091503268,SAFE,PROCESS,0,SAFE
R001,H037,v2.2,25,52.9,53.5,1.98,170.04,74.08,1.79,232.05,2.27,SUCCESS,False,False,False,HEALTHY,0.48,-62.01000000000002,1.2681564245810055,SAFE,PROCESS,0,SAFE
R001,H038,v2.2,10,64.44,39.68,2.35,253.44,87.21,1.15,138.05,2.56,SUCCESS,False,False,False,HEALTHY,1.4100000000000001,115.38999999999999,2.226086956521739,WARNING,PROCESS,20,SAFE
R001,H039,v2.2,10,63.59,52.71,2.94,211.2,52.17,0.62,179.26,1.31,IN_PROGRESS,False,False,False,HEALTHY,0.6900000000000001,31.939999999999998,2.1129032258064515,SAFE,PROCESS,5,SAFE
R001,H040,v2.2,25,42.98,47.26,2.99,239.39,86.86,0.61,124.93,1.46,IN_PROGRESS,False,False,False,HEALTHY,0.85,114.45999999999998,2.3934426229508197,WARNING,PROCESS,25,SAFE
R001,H041,v2.2,10,54.63,46.67,1.47,145.88,68.02,0.66,150.35,1.16,SUCCESS,False,False,False,HEALTHY,0.4999999999999999,-4.469999999999999,1.7575757575757573,SAFE,PROCESS,0,SAFE
R001,H042,v2.2,5,43.54,51.77,0.69,288.11,79.06,1.12,190.42,1.54,IN_PROGRESS,False,False,False,HEALTHY,0.41999999999999993,97.69000000000003,1.375,SAFE,PROCESS,5,SAFE
R001,H043,v2.2,25,48.92,67.22,2.96,175.35,69.65,0.75,161.69,2.37,SUCCESS,False,False,False,HEALTHY,1.62,13.659999999999997,3.16,WARNING,PROCESS,20,SAFE
R001,H044,v2.2,5,52.19,51.12,1.84,249.98,79.26,0.7,102.05,2.78,SUCCESS,False,False,False,HEALTHY,2.08,147.93,3.9714285714285715,CRITICAL,PROCESS,40,BLOCK
R001,H045,v2.2,5,41.28,49.63,2.7,251.4,63.43,0.81,137.72,0.62,SUCCESS,False,False,False,HEALTHY,-0.19000000000000006,113.68,0.7654320987654321,WARNING,PROCESS,20,SAFE
R001,H046,v2.2,50,54.14,65.74,1.7,184.11,81.97,0.96,222.46,2.46,SUCCESS,False,False,False,HEALTHY,1.5,-38.349999999999994,2.5625,WARNING,PROCESS,20,SAFE
R001,H047,v2.2,100,41.31,55.93,2.32,209.49,95.52,1.41,195.5,1.63,SUCCESS,False,False,False,HEALTHY,0.21999999999999997,13.990000000000009,1.1560283687943262,SAFE,PROCESS,0,SAFE
R001,H048,v2.2,50,51.28,51.15,1.37,141.83,67.08,1.19,226.31,1.95,SUCCESS,False,False,False,HEALTHY,0.76,-84.47999999999999,1.638655462184874,SAFE,PROCESS,0,SAFE
R001,H049,v2.2,10,42.48,68.39,2.69,203.05,80.1,1.55,127.01,2.93,SUCCESS,False,False,False,HEALTHY,1.3800000000000001,76.04,1.8903225806451613,WARNING,PROCESS,20,SAFE
R001,H050,v2.2,10,28.54,59.1,2.74,125.75,66.08,0.55,182.31,1.33,SUCCESS,False,False,False,HEALTHY,0.78,-56.56,2.418181818181818,SAFE,PROCESS,0,SAFE
R002,H001,v2.3,5,51.78,55.29,1.84,284.81,88.0,1.07,100.39,1.09,SUCCESS,False,False,False,HEALTHY,0.020000000000000018,184.42000000000002,1.0186915887850467,WARNING,PROCESS,20,SAFE
R002,H002,v2.3,5,54.72,60.21,0.58,273.44,69.86,0.7,203.07,1.39,SUCCESS,False,False,False,HEALTHY,0.69,70.37,1.9857142857142858,SAFE,PROCESS,0,SAFE
R002,H003,v2.3,25,34.39,56.65,1.36,194.79,82.44,1.76,113.38,1.39,SUCCESS,False,False,False,HEALTHY,-0.3700000000000001,81.41,0.7897727272727272,SAFE,PROCESS,0,SAFE
R002,H004,v2.3,25,100.0,45.91,2.75,221.51,74.91,1.38,184.67,1.11,SUCCESS,False,False,True,HEALTHY,-0.2699999999999998,36.84,0.8043478260869567,SAFE,HOLD,20,HOLD
R002,H005,v2.3,5,44.08,48.09,0.93,279.35,76.23,0.87,124.1,0.7,SUCCESS,False,False,False,HEALTHY,-0.17000000000000004,155.25000000000003,0.8045977011494252,WARNING,PROCESS,20,SAFE
R002,H006,v2.3,10,44.23,61.04,0.93,233.73,77.84,1.95,229.83,2.82,SUCCESS,False,False,False,HEALTHY,0.8699999999999999,3.8999999999999773,1.4461538461538461,SAFE,PROCESS,0,SAFE
R002,H007,v2.3,5,33.72,55.38,0.79,222.12,79.06,0.99,163.82,1.22,SUCCESS,False,False,False,HEALTHY,0.22999999999999998,58.30000000000001,1.2323232323232323,SAFE,PROCESS,0,SAFE
R002,H008,v2.3,5,60.06,50.38,1.14,236.3,79.78,1.0,120.16,2.4,SUCCESS,False,False,False,HEALTHY,1.4,116.14000000000001,2.4,WARNING,PROCESS,20,SAFE
R002,H009,v2.3,100,53.71,50.17,2.85,136.25,87.06,1.75,244.75,0.67,SUCCESS,False,False,False,HEALTHY,-1.08,-108.5,0.3828571428571429,SAFE,PROCESS,0,SAFE
R002,H010,v2.3,50,53.94,51.63,2.16,204.61,93.86,0.8,124.55,1.4,SUCCESS,False,False,False,HEALTHY,0.5999999999999999,80.06000000000002,1.7499999999999998,SAFE,PROCESS,0,SAFE
R002,H011,v2.3,10,50.18,68.41,1.08,279.91,77.18,1.19,145.21,1.46,IN_PROGRESS,False,False,False,HEALTHY,0.27,134.70000000000002,1.226890756302521,WARNING,PROCESS,25,SAFE
R002,H012,v2.3,100,53.38,51.68,2.05,206.69,89.43,1.44,150.24,2.73,SUCCESS,False,False,False,HEALTHY,1.29,56.44999999999999,1.8958333333333335,WARNING,PROCESS,20,SAFE
R002,H013,v2.3,25,54.79,57.67,1.36,264.25,92.32,0.55,185.48,0.78,SUCCESS,False,False,False,HEALTHY,0.22999999999999998,78.77000000000001,1.4181818181818182,SAFE,PROCESS,0,SAFE
R002,H014,v2.3,5,58.7,65.85,2.23,208.54,67.28,0.84,208.34,1.13,SUCCESS,False,False,False,HEALTHY,0.2899999999999999,0.19999999999998863,1.3452380952380951,SAFE,PROCESS,0,SAFE
R002,H015,v2.3,10,52.8,46.0,1.76,222.29,93.61,1.19,242.09,0.55,IN_PROGRESS,False,False,False,HEALTHY,-0.6399999999999999,-19.80000000000001,0.4621848739495799,SAFE,PROCESS,5,SAFE
R002,H016,v2.3,100,68.82,65.76,1.56,247.29,96.28,1.56,122.88,2.84,SUCCESS,False,False,False,HEALTHY,1.2799999999999998,124.41,1.8205128205128203,WARNING,PROCESS,20,SAFE
R002,H017,v2.3,50,,63.75,1.98,179.8,66.76,0.69,238.13,0.64,SUCCESS,False,True,False,HEALTHY,-0.04999999999999993,-58.329999999999984,0.9275362318840581,SAFE,HOLD,0,HOLD
R002,H018,v2.3,10,34.44,32.72,2.8,217.41,95.64,1.8,238.44,0.58,SUCCESS,False,False,False,HEALTHY,-1.2200000000000002,-21.03,0.3222222222222222,SAFE,PROCESS,0,SAFE
R002,H019,v2.3,5,40.93,49.23,1.03,203.03,72.95,0.97,217.07,2.94,SUCCESS,False,False,False,HEALTHY,1.97,-14.039999999999992,3.0309278350515463,WARNING,PROCESS,20,SAFE
R002,H020,v2.3,5,36.37,39.71,2.5,169.88,81.25,0.95,146.49,1.67,SUCCESS,False,False,False,HEALTHY,0.72,23.389999999999986,1.7578947368421052,SAFE,PROCESS,0,SAFE
R002,H021,v2.3,5,34.65,77.37,1.74,253.07,66.72,1.57,179.15,0.76,SUCCESS,False,False,False,HEALTHY,-0.81,73.91999999999999,0.4840764331210191,SAFE,PROCESS,0,SAFE
R002,H022,v2.3,50,47.43,63.19,1.88,150.78,75.28,1.29,220.11,0.99,SUCCESS,False,False,False,HEALTHY,-0.30000000000000004,-69.33000000000001,0.7674418604651162,SAFE,PROCESS,0,SAFE
R002,H023,v2.3,50,62.5,58.36,2.91,288.88,70.32,1.34,208.12,0.85,SUCCESS,False,False,False,HEALTHY,-0.4900000000000001,80.75999999999999,0.6343283582089552,SAFE,PROCESS,0,SAFE
R002,H024,v2.3,25,53.3,61.96,2.26,282.12,66.79,1.77,118.42,2.06,SUCCESS,False,False,False,HEALTHY,0.29000000000000004,163.7,1.1638418079096045,WARNING,PROCESS,20,SAFE
R002,H025,v2.3,50,59.5,52.11,1.05,294.91,55.71,1.02,216.08,2.45,SUCCESS,False,False,False,HEALTHY,1.4300000000000002,78.83000000000001,2.401960784313726,WARNING,PROCESS,20,SAFE
R002,H026,v2.3,5,58.7,63.46,1.51,143.6,71.09,1.23,176.87,2.11,SUCCESS,False,False,False,HEALTHY,0.8799999999999999,-33.27000000000001,1.7154471544715446,SAFE,PROCESS,0,SAFE
R002,H027,v2.3,25,49.92,65.87,0.67,181.05,86.01,1.73,179.45,1.74,SUCCESS,False,False,False,HEALTHY,0.010000000000000009,1.6000000000000227,1.0057803468208093,SAFE,PROCESS,0,SAFE
R002,H028,v2.3,5,49.01,73.38,1.93,267.62,88.55,1.6,137.61,1.51,SUCCESS,False,False,False,HEALTHY,-0.09000000000000008,130.01,0.94375,WARNING,PROCESS,20,SAFE
R002,H029,v2.3,5,58.24,54.0,2.3,222.08,69.83,0.64,215.65,2.87,IN_PROGRESS,False,False,False,HEALTHY,2.23,6.430000000000007,4.484375,CRITICAL,PROCESS,45,BLOCK
R002,H030,v2.3,5,52.36,56.86,2.89,130.93,73.71,1.31,124.3,2.06,SUCCESS,False,False,False,HEALTHY,0.75,6.63000000000001,1.5725190839694656,SAFE,PROCESS,0,SAFE
R002,H031,v2.3,25,59.86,50.24,2.91,258.0,76.07,1.4,168.95,2.23,SUCCESS,False,False,False,HEALTHY,0.8300000000000001,89.05000000000001,1.592857142857143,SAFE,PROCESS,0,SAFE
R002,H032,v2.3,25,50.4,55.09,2.76,229.33,52.58,1.64,208.62,2.23,SUCCESS,False,False,False,HEALTHY,0.5900000000000001,20.710000000000008,1.3597560975609757,SAFE,PROCESS,0,SAFE
R002,H033,v2.3,100,42.67,52.11,2.33,138.52,71.09,1.33,170.98,0.79,SUCCESS,False,False,False,HEALTHY,-0.54,-32.45999999999998,0.5939849624060151,SAFE,PROCESS,0,SAFE
R002,H034,v2.3,10,37.26,66.31,1.9,196.21,76.51,1.28,196.68,2.71,SUCCESS,False,False,False,HEALTHY,1.43,-0.46999999999999886,2.1171875,WARNING,PROCESS,20,SAFE
R002,H035,v2.3,50,,68.71,1.57,275.33,73.1,1.31,199.25,1.54,IN_PROGRESS,False,True,False,HEALTHY,0.22999999999999998,76.07999999999998,1.1755725190839694,SAFE,HOLD,5,HOLD
R002,H036,v2.3,100,62.23,49.53,1.5,195.98,93.68,1.7,249.69,2.07,IN_PROGRESS,False,False,False,HEALTHY,0.3699999999999999,-53.71000000000001,1.2176470588235293,SAFE,PROCESS,5,SAFE
R002,H037,v2.3,10,47.0,48.56,1.22,159.26,52.1,1.61,135.82,1.08,SUCCESS,False,False,False,HEALTHY,-0.53,23.439999999999998,0.6708074534161491,SAFE,PROCESS,0,SAFE
R002,H038,v2.3,10,48.34,48.4,2.7,288.95,80.67,1.52,132.74,1.67,SUCCESS,False,False,False,HEALTHY,0.1499999999999999,156.20999999999998,1.0986842105263157,WARNING,PROCESS,20,SAFE
R002,H039,v2.3,100,34.3,55.59,0.94,144.1,88.98,1.47,191.16,0.97,SUCCESS,False,False,False,HEALTHY,-0.5,-47.06,0.6598639455782312,SAFE,PROCESS,0,SAFE
R002,H040,v2.3,50,46.27,45.61,2.4,239.2,90.79,1.89,249.24,0.88,SUCCESS,False,False,False,HEALTHY,-1.0099999999999998,-10.04000000000002,0.46560846560846564,SAFE,PROCESS,0,SAFE
R002,H041,v2.3,25,46.37,59.67,0.82,277.75,93.11,1.37,113.72,2.89,SUCCESS,False,False,False,HEALTHY,1.52,164.03,2.1094890510948905,WARNING,PROCESS,20,SAFE
R002,H042,v2.3,5,58.84,47.39,1.74,116.21,84.16,1.11,155.9,1.05,SUCCESS,False,False,False,HEALTHY,-0.06000000000000005,-39.69000000000001,0.9459459459459459,SAFE,PROCESS,0,SAFE
R002,H043,v2.3,10,63.24,45.95,1.91,153.41,89.87,1.39,223.7,2.7,SUCCESS,False,False,False,HEALTHY,1.3100000000000003,-70.28999999999999,1.942446043165468,WARNING,PROCESS,20,SAFE
R002,H044,v2.3,25,60.09,67.25,2.38,131.72,93.59,1.76,204.62,2.7,SUCCESS,False,False,False,HEALTHY,0.9400000000000002,-72.9,1.5340909090909092,SAFE,PROCESS,0,SAFE
R002,H045,v2.3,10,54.18,58.2,1.77,101.28,80.85,1.62,124.11,1.22,IN_PROGRESS,False,False,False,HEALTHY,-0.40000000000000013,-22.83,0.7530864197530863,SAFE,PROCESS,5,SAFE
R002,H046,v2.3,25,52.67,51.79,1.85,292.6,81.63,1.31,216.98,1.35,IN_PROGRESS,False,False,False,HEALTHY,0.040000000000000036,75.62000000000003,1.0305343511450382,SAFE,PROCESS,5,SAFE
R002,H047,v2.3,25,46.37,56.4,1.96,169.18,52.29,0.6,145.14,2.05,SUCCESS,False,False,False,HEALTHY,1.4499999999999997,24.04000000000002,3.4166666666666665,WARNING,PROCESS,20,SAFE
R002,H048,v2.3,25,48.69,38.72,2.43,236.66,63.68,0.7,213.74,1.61,IN_PROGRESS,False,False,False,HEALTHY,0.9100000000000001,22.919999999999987,2.3000000000000003,SAFE,PROCESS,5,SAFE
R002,H049,v2.3,5,61.22,65.48,1.18,290.17,71.62,1.69,204.05,0.88,IN_PROGRESS,False,False,False,HEALTHY,-0.8099999999999999,86.12,0.5207100591715976,SAFE,PROCESS,5,SAFE
R002,H050,v2.3,10,58.98,53.35,1.07,142.62,82.58,0.91,247.6,0.58,SUCCESS,False,False,False,HEALTHY,-0.33000000000000007,-104.97999999999999,0.6373626373626373,SAFE,PROCESS,0,SAFE
R003,H001,v2.4,5,55.7,58.58,2.4,225.24,51.63,1.8,216.49,0.83,IN_PROGRESS,False,False,False,HEALTHY,-0.9700000000000001,8.75,0.4611111111111111,SAFE,PROCESS,5,SAFE
R003,H002,v2.4,10,43.24,69.41,1.0,198.32,79.1,0.68,118.78,0.66,SUCCESS,False,False,False,HEALTHY,-0.020000000000000018,79.53999999999999,0.9705882352941176,SAFE,PROCESS,0,SAFE
R003,H003,v2.4,10,45.48,35.61,2.0,158.33,93.01,0.52,110.87,2.24,SUCCESS,False,False,False,HEALTHY,1.7200000000000002,47.46000000000001,4.307692307692308,WARNING,PROCESS,20,SAFE
R003,H004,v2.4,5,49.96,45.73,2.05,240.49,50.49,0.86,248.0,1.9,SUCCESS,False,False,False,HEALTHY,1.04,-7.509999999999991,2.2093023255813953,WARNING,PROCESS,20,SAFE
R003,H005,v2.4,10,39.98,52.75,1.92,237.89,60.01,0.55,111.79,2.5,SUCCESS,False,False,False,HEALTHY,1.95,126.09999999999998,4.545454545454545,WARNING,PROCESS,20,SAFE
R003,H006,v2.4,25,50.6,49.82,2.27,274.19,90.09,0.55,240.43,2.29,SUCCESS,False,False,False,HEALTHY,1.74,33.75999999999999,4.163636363636363,WARNING,PROCESS,20,SAFE
R003,H007,v2.4,50,70.75,49.49,1.82,246.32,53.02,1.32,222.59,0.7,SUCCESS,False,False,False,HEALTHY,-0.6200000000000001,23.72999999999999,0.5303030303030303,SAFE,PROCESS,0,SAFE
R003,H008,v2.4,5,55.23,50.41,2.15,199.64,85.96,1.96,150.53,1.89,SUCCESS,False,False,False,HEALTHY,-0.07000000000000006,49.109999999999985,0.9642857142857143,SAFE,PROCESS,0,SAFE
R003,H009,v2.4,25,47.43,41.65,2.67,245.43,71.27,0.8,202.03,2.36,SUCCESS,False,False,False,HEALTHY,1.5599999999999998,43.400000000000006,2.9499999999999997,WARNING,PROCESS,20,SAFE
R003,H010,v2.4,5,66.84,51.33,1.72,274.68,71.09,1.8,186.8,2.75,SUCCESS,False,False,False,HEALTHY,0.95,87.88,1.5277777777777777,SAFE,PROCESS,0,SAFE
R003,H011,v2.4,5,43.74,58.17,2.29,281.81,61.88,1.43,194.73,0.95,IN_PROGRESS,False,False,False,HEALTHY,-0.48,87.08000000000001,0.6643356643356644,SAFE,PROCESS,5,SAFE
R003,H012,v2.4,10,57.72,32.21,1.4,218.59,69.55,0.87,230.61,0.91,IN_PROGRESS,False,False,False,HEALTHY,0.040000000000000036,-12.02000000000001,1.0459770114942528,SAFE,PROCESS,5,SAFE
R003,H013,v2.4,10,49.53,58.82,1.09,114.7,75.99,1.66,119.63,0.92,SUCCESS,False,False,False,HEALTHY,-0.7399999999999999,-4.929999999999993,0.5542168674698795,SAFE,PROCESS,0,SAFE
R003,H014,v2.4,5,46.51,52.21,0.59,247.28,73.73,1.43,206.02,2.16,SUCCESS,False,False,False,HEALTHY,0.7300000000000002,41.25999999999999,1.5104895104895106,SAFE,PROCESS,0,SAFE
R003,H015,v2.4,50,49.28,54.7,1.83,287.32,56.11,0.81,116.79,0.6,SUCCESS,False,False,False,HEALTHY,-0.21000000000000008,170.52999999999997,0.7407407407407407,WARNING,PROCESS,20,SAFE
R003,H016,v2.4,10,,57.77,1.64,203.12,83.34,0.56,122.25,1.72,SUCCESS,False,True,False,HEALTHY,1.16,80.87,3.071428571428571,WARNING,HOLD,20,HOLD
R003,H017,v2.4,100,56.0,48.52,0.89,146.91,62.77,1.6,124.36,2.91,SUCCESS,False,False,False,HEALTHY,1.31,22.549999999999997,1.81875,WARNING,PROCESS,20,SAFE
R003,H018,v2.4,5,53.73,59.06,0.78,259.1,80.03,0.87,224.63,2.8,IN_PROGRESS,False,False,False,HEALTHY,1.9299999999999997,34.47000000000003,3.2183908045977008,WARNING,PROCESS,25,SAFE
R003,H019,v2.4,25,33.87,62.45,2.67,298.67,54.52,1.02,123.89,2.38,SUCCESS,False,False,False,HEALTHY,1.3599999999999999,174.78000000000003,2.333333333333333,WARNING,PROCESS,20,SAFE
R003,H020,v2.4,50,57.9,51.87,1.44,159.37,66.42,1.89,165.73,2.12,SUCCESS,False,False,False,HEALTHY,0.2300000000000002,-6.359999999999985,1.1216931216931219,SAFE,PROCESS,0,SAFE
R003,H021,v2.4,10,28.49,69.15,0.54,217.41,82.13,1.32,189.47,0.92,SUCCESS,False,False,False,HEALTHY,-0.4,27.939999999999998,0.696969696969697,SAFE,PROCESS,0,SAFE
R003,H022,v2.4,100,50.9,45.55,1.12,195.34,77.47,1.77,237.14,1.49,SUCCESS,False,False,False,HEALTHY,-0.28,-41.79999999999998,0.8418079096045198,SAFE,PROCESS,0,SAFE
R003,H023,v2.4,50,38.13,67.25,0.99,195.84,58.32,1.15,234.51,0.99,SUCCESS,False,False,False,HEALTHY,-0.15999999999999992,-38.66999999999999,0.8608695652173913,SAFE,PROCESS,0,SAFE
R003,H024,v2.4,100,52.54,51.16,1.5,295.35,76.12,1.3,187.14,2.56,SUCCESS,False,False,False,HEALTHY,1.26,108.21000000000004,1.9692307692307691,WARNING,PROCESS,20,SAFE
R003,H025,v2.4,5,41.77,53.8,2.54,174.7,55.62,0.94,219.01,1.82,SUCCESS,False,False,False,HEALTHY,0.8800000000000001,-44.31,1.9361702127659577,SAFE,PROCESS,0,SAFE
R003,H026,v2.4,25,45.37,46.35,2.76,253.99,62.78,1.69,196.99,1.89,SUCCESS,False,False,False,HEALTHY,0.19999999999999996,57.0,1.1183431952662721,SAFE,PROCESS,0,SAFE
R003,H027,v2.4,25,47.55,45.98,0.88,147.05,73.64,1.71,215.0,2.67,SUCCESS,False,False,False,HEALTHY,0.96,-67.94999999999999,1.5614035087719298,SAFE,PROCESS,0,SAFE
R003,H028,v2.4,5,57.34,44.18,0.65,128.35,79.85,0.81,195.69,1.19,SUCCESS,False,False,False,HEALTHY,0.3799999999999999,-67.34,1.4691358024691357,SAFE,PROCESS,0,SAFE
